candidate_id,pair_id,galaxy_name,ra_deg,dec_deg,status,priority_score,fade_sigma,fade_fraction,S_raw,S_min_LOO,S_robust,d_max,depth_margin_post,crowding_index,blend_risk,host_bg_penalty,astrometric_residual,cross_reduction_agreement,pre_obsid,post_obsid,pre_obs_id,post_obs_id,pre_filter,post_filter,pre_mjd,post_mjd,cutout_path,reason_codes_json,warning_flags_json,provenance_json
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861::hst_15145_74_wfc3_ir_f160w_idgg74::hst_16250_14_wfc3_ir_f160w_iebs14,NGC 5861,227.31168462784544,-11.334172817955897,PASS,91.47921156783069,111.45198883292728,0.9748675755671926,111.45198883292728,48.24320018611133,48.24320018611133,63.208788646815954,33.867833418321,0.0,0.0,0.001733922224052515,0.24044131651432754,0.9720755155263506,26667217,71739676,hst_15145_74_wfc3_ir_f160w_idgg74,hst_16250_14_wfc3_ir_f160w_iebs14,F160W,F160W,58143.68995505,59638.19392855,/home/primary/SUPERNOVA/candidate_packets/NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023/NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023_cutout.png,"[""POST_DEPTH_OK"", ""POST_LT_5PCT"", ""ROBUST_FADE_SIG""]",[],"{""baseline_days"": 1494.5039734999955, ""compatibility"": ""exact"", ""edge_distance_px"": 158.2940302096071, ""n_scale_sources"": 71, ""pair_score"": 1.4000000000000001, ""product_info"": {""image_ext_1"": ""SCI"", ""image_ext_2"": ""SCI"", ""obs_id_1"": ""hst_15145_74_wfc3_ir_f160w_idgg74"", ""obs_id_2"": ""hst_16250_14_wfc3_ir_f160w_iebs14"", ""obsid_1"": 26667217, ""obsid_2"": 71739676, ""product_filename_1"": ""hst_15145_74_wfc3_ir_f160w_idgg74_drz.fits"", ""product_filename_2"": ""hst_16250_14_wfc3_ir_f160w_iebs14_drz.fits"", ""product_path_1"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15145_74_wfc3_ir_f160w_idgg74/hst_15145_74_wfc3_ir_f160w_idgg74_drz.fits"", ""product_path_2"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_16250_14_wfc3_ir_f160w_iebs14/hst_16250_14_wfc3_ir_f160w_iebs14_drz.fits"", ""product_priority_1"": 181.0, ""product_priority_2"": 181.0, ""product_uri_1"": ""mast:HST/product/hst_15145_74_wfc3_ir_f160w_idgg74_drz.fits"", ""product_uri_2"": ""mast:HST/product/hst_16250_14_wfc3_ir_f160w_iebs14_drz.fits""}, ""scale_factor_post_to_pre"": 0.9714883742437238}"
NGC_5861_hst_15145_78_wfc3_ir_f160w_idgg78_hst_16250_14_wfc3_ir_f160w_iebs14_0025,NGC 5861::hst_15145_78_wfc3_ir_f160w_idgg78::hst_16250_14_wfc3_ir_f160w_iebs14,NGC 5861,227.31169933464997,-11.334173319587665,PASS,71.27324670156737,82.80852123904357,0.9706283873881342,82.80852123904357,37.99163472087082,37.99163472087082,44.81688651817275,23.973985454544344,0.0,0.0,0.002251063658371125,0.6071488491148266,0.9676007575385347,26692278,71739676,hst_15145_78_wfc3_ir_f160w_idgg78,hst_16250_14_wfc3_ir_f160w_iebs14,F160W,F160W,58181.56912263,59638.19392855,/home/primary/SUPERNOVA/candidate_packets/NGC_5861_hst_15145_78_wfc3_ir_f160w_idgg78_hst_16250_14_wfc3_ir_f160w_iebs14_0025/NGC_5861_hst_15145_78_wfc3_ir_f160w_idgg78_hst_16250_14_wfc3_ir_f160w_iebs14_0025_cutout.png,"[""POST_DEPTH_OK"", ""POST_LT_5PCT"", ""ROBUST_FADE_SIG""]",[],"{""baseline_days"": 1456.6248059200007, ""compatibility"": ""exact"", ""edge_distance_px"": 154.69324484281788, ""n_scale_sources"": 77, ""pair_score"": 1.4000000000000001, ""product_info"": {""image_ext_1"": ""SCI"", ""image_ext_2"": ""SCI"", ""obs_id_1"": ""hst_15145_78_wfc3_ir_f160w_idgg78"", ""obs_id_2"": ""hst_16250_14_wfc3_ir_f160w_iebs14"", ""obsid_1"": 26692278, ""obsid_2"": 71739676, ""product_filename_1"": ""hst_15145_78_wfc3_ir_f160w_idgg78_drz.fits"", ""product_filename_2"": ""hst_16250_14_wfc3_ir_f160w_iebs14_drz.fits"", ""product_path_1"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15145_78_wfc3_ir_f160w_idgg78/hst_15145_78_wfc3_ir_f160w_idgg78_drz.fits"", ""product_path_2"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_16250_14_wfc3_ir_f160w_iebs14/hst_16250_14_wfc3_ir_f160w_iebs14_drz.fits"", ""product_priority_1"": 181.0, ""product_priority_2"": 181.0, ""product_uri_1"": ""mast:HST/product/hst_15145_78_wfc3_ir_f160w_idgg78_drz.fits"", ""product_uri_2"": ""mast:HST/product/hst_16250_14_wfc3_ir_f160w_iebs14_drz.fits""}, ""scale_factor_post_to_pre"": 0.9577830508251768}"
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003,MESSIER 101::hst_9490_02_acs_wfc_f555w_j8d602::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,210.74327554786996,54.34588081067677,PASS,21.592449960892207,12.616354440181974,0.9998673283300183,12.616354440181974,10.805311229716423,10.805311229716423,2958.889634199744,968.6357525506502,0.0,0.0,8.722691239676492e-05,0.9794946630960235,0.9999779857522009,26321563,26481492,hst_9490_02_acs_wfc_f555w_j8d602,hst_14678_01_acs_wfc_f555w_jd6v01,F555W,F555W,52591.73689722,57919.6925697,/home/primary/SUPERNOVA/candidate_packets/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003_cutout.png,"[""POST_DEPTH_OK"", ""POST_LT_5PCT"", ""ROBUST_FADE_SIG""]",[],"{""baseline_days"": 5327.955672479999, ""compatibility"": ""exact"", ""edge_distance_px"": 230.38446128157167, ""n_scale_sources"": 1013, ""pair_score"": 1.4000000000000001, ""product_info"": {""image_ext_1"": ""SCI"", ""image_ext_2"": ""SCI"", ""obs_id_1"": ""hst_9490_02_acs_wfc_f555w_j8d602"", ""obs_id_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01"", ""obsid_1"": 26321563, ""obsid_2"": 26481492, ""product_filename_1"": ""hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_filename_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_path_1"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_path_2"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_priority_1"": 181.0, ""product_priority_2"": 181.0, ""product_uri_1"": ""mast:HST/product/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_uri_2"": ""mast:HST/product/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits""}, ""scale_factor_post_to_pre"": 0.9321586768734117}"
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_1397,MESSIER 101::hst_9490_02_acs_wfc_f555w_j8d602::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,210.77883222308154,54.33056938959323,REVIEW,61.099252918051,65.64512741030406,0.6714759609572073,65.64512741030406,46.202812684697406,46.202812684697406,21.02685638482599,38.07183332489325,0.0,0.0,4.954675900779639e-05,0.9794946630960235,0.970194601314066,26321563,26481492,hst_9490_02_acs_wfc_f555w_j8d602,hst_14678_01_acs_wfc_f555w_jd6v01,F555W,F555W,52591.73689722,57919.6925697,/home/primary/SUPERNOVA/candidate_packets/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_1397/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_1397_cutout.png,"[""POST_DEPTH_OK"", ""ROBUST_FADE_SIG""]",[],"{""baseline_days"": 5327.955672479999, ""compatibility"": ""exact"", ""edge_distance_px"": 400.5820764837089, ""n_scale_sources"": 1013, ""pair_score"": 1.4000000000000001, ""product_info"": {""image_ext_1"": ""SCI"", ""image_ext_2"": ""SCI"", ""obs_id_1"": ""hst_9490_02_acs_wfc_f555w_j8d602"", ""obs_id_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01"", ""obsid_1"": 26321563, ""obsid_2"": 26481492, ""product_filename_1"": ""hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_filename_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_path_1"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_path_2"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_priority_1"": 181.0, ""product_priority_2"": 181.0, ""product_uri_1"": ""mast:HST/product/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_uri_2"": ""mast:HST/product/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits""}, ""scale_factor_post_to_pre"": 0.9321586768734117}"
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_1314,MESSIER 101::hst_9490_02_acs_wfc_f555w_j8d602::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,210.76210457902357,54.33532033629902,REVIEW,57.36576379170655,52.14458039975438,0.908838023675084,52.14458039975438,33.504359560860046,33.504359560860046,46.601731533507895,18.56530802505471,0.0,0.0,0.004517757456574781,0.9794946630960235,0.9520200498165523,26321563,26481492,hst_9490_02_acs_wfc_f555w_j8d602,hst_14678_01_acs_wfc_f555w_jd6v01,F555W,F555W,52591.73689722,57919.6925697,/home/primary/SUPERNOVA/candidate_packets/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_1314/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_1314_cutout.png,"[""POST_DEPTH_OK"", ""ROBUST_FADE_SIG""]",[],"{""baseline_days"": 5327.955672479999, ""compatibility"": ""exact"", ""edge_distance_px"": 354.400902933387, ""n_scale_sources"": 1013, ""pair_score"": 1.4000000000000001, ""product_info"": {""image_ext_1"": ""SCI"", ""image_ext_2"": ""SCI"", ""obs_id_1"": ""hst_9490_02_acs_wfc_f555w_j8d602"", ""obs_id_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01"", ""obsid_1"": 26321563, ""obsid_2"": 26481492, ""product_filename_1"": ""hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_filename_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_path_1"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_path_2"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_priority_1"": 181.0, ""product_priority_2"": 181.0, ""product_uri_1"": ""mast:HST/product/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_uri_2"": ""mast:HST/product/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits""}, ""scale_factor_post_to_pre"": 0.9321586768734117}"
MESSIER_077_hst_15151_04_wfc3_uvis_f814w_idm104_hst_17502_01_wfc3_uvis_f814w_ifab01_0257,MESSIER 077::hst_15151_04_wfc3_uvis_f814w_idm104::hst_17502_01_wfc3_uvis_f814w_ifab01,MESSIER 077,40.67200049763023,-0.008889945056521485,REVIEW,45.22764589759568,69.68894230169406,0.645262504224364,69.68894230169406,36.63770734370328,36.63770734370328,78.25545438035184,30.82085921409585,0.0,0.0,0.00372584939750832,0.13008095139314804,0.9701306064781847,26693964,229880271,hst_15151_04_wfc3_uvis_f814w_idm104,hst_17502_01_wfc3_uvis_f814w_ifab01,F814W,F814W,58665.15085505,60569.719117,/home/primary/SUPERNOVA/candidate_packets/MESSIER_077_hst_15151_04_wfc3_uvis_f814w_idm104_hst_17502_01_wfc3_uvis_f814w_ifab01_0257/MESSIER_077_hst_15151_04_wfc3_uvis_f814w_idm104_hst_17502_01_wfc3_uvis_f814w_ifab01_0257_cutout.png,"[""POST_DEPTH_OK"", ""ROBUST_FADE_SIG""]",[],"{""baseline_days"": 1904.5682619500003, ""compatibility"": ""exact"", ""edge_distance_px"": 504.0674558032883, ""n_scale_sources"": 126, ""pair_score"": 1.4000000000000001, ""product_info"": {""image_ext_1"": ""SCI"", ""image_ext_2"": ""SCI"", ""obs_id_1"": ""hst_15151_04_wfc3_uvis_f814w_idm104"", ""obs_id_2"": ""hst_17502_01_wfc3_uvis_f814w_ifab01"", ""obsid_1"": 26693964, ""obsid_2"": 229880271, ""product_filename_1"": ""hst_15151_04_wfc3_uvis_f814w_idm104_drc.fits"", ""product_filename_2"": ""hst_17502_01_wfc3_uvis_f814w_ifab01_drc.fits"", ""product_path_1"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15151_04_wfc3_uvis_f814w_idm104/hst_15151_04_wfc3_uvis_f814w_idm104_drc.fits"", ""product_path_2"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_17502_01_wfc3_uvis_f814w_ifab01/hst_17502_01_wfc3_uvis_f814w_ifab01_drc.fits"", ""product_priority_1"": 181.0, ""product_priority_2"": 181.0, ""product_uri_1"": ""mast:HST/product/hst_15151_04_wfc3_uvis_f814w_idm104_drc.fits"", ""product_uri_2"": ""mast:HST/product/hst_17502_01_wfc3_uvis_f814w_ifab01_drc.fits""}, ""scale_factor_post_to_pre"": 0.9641133093555481}"
MESSIER_066_hst_12968_01_wfc3_uvis_f438w_ic0h01_hst_15654_22_wfc3_uvis_f438w_idxr22_0217,MESSIER 066::hst_12968_01_wfc3_uvis_f438w_ic0h01::hst_15654_22_wfc3_uvis_f438w_idxr22,MESSIER 066,170.07240440405914,12.982820416447165,REVIEW,21.898161471374397,58.01603587875941,0.5432121518109829,58.01603587875941,35.92856997340021,35.92856997340021,22.087465905359203,30.509063839859426,1.0,0.38055192520655856,0.0003399231208843271,0.21440372344037495,0.9899447298197752,26583197,26689617,hst_12968_01_wfc3_uvis_f438w_ic0h01,hst_15654_22_wfc3_uvis_f438w_idxr22,F438W,F438W,56594.96158108,58798.64000237,/home/primary/SUPERNOVA/candidate_packets/MESSIER_066_hst_12968_01_wfc3_uvis_f438w_ic0h01_hst_15654_22_wfc3_uvis_f438w_idxr22_0217/MESSIER_066_hst_12968_01_wfc3_uvis_f438w_ic0h01_hst_15654_22_wfc3_uvis_f438w_idxr22_0217_cutout.png,"[""POST_DEPTH_OK"", ""ROBUST_FADE_SIG""]",[],"{""baseline_days"": 2203.6784212899947, ""compatibility"": ""exact"", ""edge_distance_px"": 253.1896522372113, ""n_scale_sources"": 245, ""pair_score"": 1.4000000000000001, ""product_info"": {""image_ext_1"": ""SCI"", ""image_ext_2"": ""SCI"", ""obs_id_1"": ""hst_12968_01_wfc3_uvis_f438w_ic0h01"", ""obs_id_2"": ""hst_15654_22_wfc3_uvis_f438w_idxr22"", ""obsid_1"": 26583197, ""obsid_2"": 26689617, ""product_filename_1"": ""hst_12968_01_wfc3_uvis_f438w_ic0h01_drc.fits"", ""product_filename_2"": ""hst_15654_22_wfc3_uvis_f438w_idxr22_drc.fits"", ""product_path_1"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_12968_01_wfc3_uvis_f438w_ic0h01/hst_12968_01_wfc3_uvis_f438w_ic0h01_drc.fits"", ""product_path_2"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15654_22_wfc3_uvis_f438w_idxr22/hst_15654_22_wfc3_uvis_f438w_idxr22_drc.fits"", ""product_priority_1"": 181.0, ""product_priority_2"": 181.0, ""product_uri_1"": ""mast:HST/product/hst_12968_01_wfc3_uvis_f438w_ic0h01_drc.fits"", ""product_uri_2"": ""mast:HST/product/hst_15654_22_wfc3_uvis_f438w_idxr22_drc.fits""}, ""scale_factor_post_to_pre"": 0.967194190592859}"
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0449,MESSIER 101::hst_9490_02_acs_wfc_f555w_j8d602::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,210.7781826455291,54.34732902576456,REVIEW,19.270030896500508,45.820508611037795,0.6810787819922561,45.820508611037795,17.72404629701315,17.72404629701315,28.096462314024645,19.636378287810793,0.0,0.0,0.0062895568059085916,0.9794946630960235,0.6766497703362004,26321563,26481492,hst_9490_02_acs_wfc_f555w_j8d602,hst_14678_01_acs_wfc_f555w_jd6v01,F555W,F555W,52591.73689722,57919.6925697,/home/primary/SUPERNOVA/candidate_packets/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0449/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0449_cutout.png,"[""POST_DEPTH_OK"", ""ROBUST_FADE_SIG""]",[],"{""baseline_days"": 5327.955672479999, ""compatibility"": ""exact"", ""edge_distance_px"": 247.8003228407905, ""n_scale_sources"": 1013, ""pair_score"": 1.4000000000000001, ""product_info"": {""image_ext_1"": ""SCI"", ""image_ext_2"": ""SCI"", ""obs_id_1"": ""hst_9490_02_acs_wfc_f555w_j8d602"", ""obs_id_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01"", ""obsid_1"": 26321563, ""obsid_2"": 26481492, ""product_filename_1"": ""hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_filename_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_path_1"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_path_2"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_priority_1"": 181.0, ""product_priority_2"": 181.0, ""product_uri_1"": ""mast:HST/product/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_uri_2"": ""mast:HST/product/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits""}, ""scale_factor_post_to_pre"": 0.9321586768734117}"
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0225,MESSIER 101::hst_9490_02_acs_wfc_f555w_j8d602::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,210.75658486051677,54.33899289361532,REVIEW,15.28300446736068,35.36370939548412,0.8708693564665664,35.36370939548412,9.386640855939204,9.386640855939204,138.28718453126422,8.176299745645489,0.0,0.0,0.0009209176410406303,0.9794946630960235,0.8833602336593883,26321563,26481492,hst_9490_02_acs_wfc_f555w_j8d602,hst_14678_01_acs_wfc_f555w_jd6v01,F555W,F555W,52591.73689722,57919.6925697,/home/primary/SUPERNOVA/candidate_packets/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0225/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0225_cutout.png,"[""POST_DEPTH_OK"", ""ROBUST_FADE_SIG""]",[],"{""baseline_days"": 5327.955672479999, ""compatibility"": ""exact"", ""edge_distance_px"": 37.64306044943742, ""n_scale_sources"": 1013, ""pair_score"": 1.4000000000000001, ""product_info"": {""image_ext_1"": ""SCI"", ""image_ext_2"": ""SCI"", ""obs_id_1"": ""hst_9490_02_acs_wfc_f555w_j8d602"", ""obs_id_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01"", ""obsid_1"": 26321563, ""obsid_2"": 26481492, ""product_filename_1"": ""hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_filename_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_path_1"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_path_2"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_priority_1"": 181.0, ""product_priority_2"": 181.0, ""product_uri_1"": ""mast:HST/product/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_uri_2"": ""mast:HST/product/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits""}, ""scale_factor_post_to_pre"": 0.9321586768734117}"
MESSIER_066_hst_12968_01_wfc3_uvis_f814w_ic0h01_hst_15654_22_wfc3_uvis_f814w_idxr22_0091,MESSIER 066::hst_12968_01_wfc3_uvis_f814w_ic0h01::hst_15654_22_wfc3_uvis_f814w_idxr22,MESSIER 066,170.07240343533996,12.9828209216034,REVIEW,13.373481651506083,33.14250249721117,0.6801004989728114,33.14250249721117,17.437337157871433,17.437337157871433,15.705165339339736,14.47681958246896,1.0,0.3748289044691815,0.0005132083673462019,0.20505500630868706,0.9919010036116682,26583220,26689624,hst_12968_01_wfc3_uvis_f814w_ic0h01,hst_15654_22_wfc3_uvis_f814w_idxr22,F814W,F814W,56595.03795848,58798.63511793,/home/primary/SUPERNOVA/candidate_packets/MESSIER_066_hst_12968_01_wfc3_uvis_f814w_ic0h01_hst_15654_22_wfc3_uvis_f814w_idxr22_0091/MESSIER_066_hst_12968_01_wfc3_uvis_f814w_ic0h01_hst_15654_22_wfc3_uvis_f814w_idxr22_0091_cutout.png,"[""POST_DEPTH_OK"", ""ROBUST_FADE_SIG""]",[],"{""baseline_days"": 2203.5971594500006, ""compatibility"": ""exact"", ""edge_distance_px"": 252.99011838409817, ""n_scale_sources"": 118, ""pair_score"": 1.4000000000000001, ""product_info"": {""image_ext_1"": ""SCI"", ""image_ext_2"": ""SCI"", ""obs_id_1"": ""hst_12968_01_wfc3_uvis_f814w_ic0h01"", ""obs_id_2"": ""hst_15654_22_wfc3_uvis_f814w_idxr22"", ""obsid_1"": 26583220, ""obsid_2"": 26689624, ""product_filename_1"": ""hst_12968_01_wfc3_uvis_f814w_ic0h01_drc.fits"", ""product_filename_2"": ""hst_15654_22_wfc3_uvis_f814w_idxr22_drc.fits"", ""product_path_1"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_12968_01_wfc3_uvis_f814w_ic0h01/hst_12968_01_wfc3_uvis_f814w_ic0h01_drc.fits"", ""product_path_2"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15654_22_wfc3_uvis_f814w_idxr22/hst_15654_22_wfc3_uvis_f814w_idxr22_drc.fits"", ""product_priority_1"": 181.0, ""product_priority_2"": 181.0, ""product_uri_1"": ""mast:HST/product/hst_12968_01_wfc3_uvis_f814w_ic0h01_drc.fits"", ""product_uri_2"": ""mast:HST/product/hst_15654_22_wfc3_uvis_f814w_idxr22_drc.fits""}, ""scale_factor_post_to_pre"": 0.9814371385130551}"
