queue_rank,pair_id,galaxy_name,galaxy_rank,obsid_1,obsid_2,obs_id_1,obs_id_2,obs_collection_1,obs_collection_2,filter_1,filter_2,instrument_1,instrument_2,baseline_days,compatibility,compatibility_score,pair_score,public_both,scan_status
1,MESSIER 077::w15g0101t::hst_17502_01_wfc3_uvis_f336w_ifab01,MESSIER 077,6,24735541,229880267,w15g0101t,hst_17502_01_wfc3_uvis_f336w_ifab01,HST,HST,F336W,F336W,WFPC/WFC,WFC3/UVIS,11628.307601432869,exact,1.0,1.4000000000000001,True,UNSCANNED
2,NGC 1097::w1000601t::hst_skycell-p0644x09y10_wfc3_uvis_f555w_all,NGC 1097,3,24734005,87600238,w1000601t,hst_skycell-p0644x09y10_wfc3_uvis_f555w_all,HST,HST,F555W,F555W,WFPC/PC,WFC3/UVIS,11588.965108823424,exact,1.0,1.4000000000000001,True,UNSCANNED
3,MESSIER 077::w1dg2t01t::hst_17502_01_wfc3_uvis_f555w_ifab01,MESSIER 077,6,24737448,229880268,w1dg2t01t,hst_17502_01_wfc3_uvis_f555w_ifab01,HST,HST,F555W,F555W,WFPC/WFC,WFC3/UVIS,11316.061390040646,exact,1.0,1.4000000000000001,True,UNSCANNED
4,MESSIER 077::w1dg8d01t::hst_17502_01_wfc3_uvis_f555w_ifab01,MESSIER 077,6,24737507,229880268,w1dg8d01t,hst_17502_01_wfc3_uvis_f555w_ifab01,HST,HST,F555W,F555W,WFPC/WFC,WFC3/UVIS,11315.191251151758,exact,1.0,1.4000000000000001,True,UNSCANNED
5,MESSIER 077::w1dg2t01t::hst_17165_09_wfc3_uvis_f555w_ieyq09,MESSIER 077,6,24737448,212564374,w1dg2t01t,hst_17165_09_wfc3_uvis_f555w_ieyq09,HST,HST,F555W,F555W,WFPC/WFC,WFC3/UVIS,11114.490513450648,exact,1.0,1.4000000000000001,True,UNSCANNED
6,MESSIER 077::w1dg8d01t::hst_17165_09_wfc3_uvis_f555w_ieyq09,MESSIER 077,6,24737507,212564374,w1dg8d01t,hst_17165_09_wfc3_uvis_f555w_ieyq09,HST,HST,F555W,F555W,WFPC/WFC,WFC3/UVIS,11113.62037456176,exact,1.0,1.4000000000000001,True,UNSCANNED
7,NGC 7331::u2781q01t::hst_17506_25_wfc3_uvis_f555w_if8c25,NGC 7331,9,24541106,201411183,u2781q01t,hst_17506_25_wfc3_uvis_f555w_if8c25,HST,HST,F555W,F555W,WFPC2/PC,WFC3/UVIS,10794.652769234723,exact,1.0,1.4000000000000001,True,UNSCANNED
8,NGC 7331::u2781r01t::hst_17506_25_wfc3_uvis_f555w_if8c25,NGC 7331,9,24541110,201411183,u2781r01t,hst_17506_25_wfc3_uvis_f555w_if8c25,HST,HST,F555W,F555W,WFPC2/PC,WFC3/UVIS,10785.878463679168,exact,1.0,1.4000000000000001,True,UNSCANNED
9,NGC 7331::hst_5397_1t_wfpc2_pc_f555w_u2781t::hst_17506_25_wfc3_uvis_f555w_if8c25,NGC 7331,9,206812947,201411183,hst_5397_1t_wfpc2_pc_f555w_u2781t,hst_17506_25_wfc3_uvis_f555w_if8c25,HST,HST,F555W,F555W,WFPC2/PC,WFC3/UVIS,10772.53055848,exact,1.0,1.4000000000000001,True,UNSCANNED
10,NGC 7331::u2781u01t::hst_17506_25_wfc3_uvis_f555w_if8c25,NGC 7331,9,24541118,201411183,u2781u01t,hst_17506_25_wfc3_uvis_f555w_if8c25,HST,HST,F555W,F555W,WFPC2/PC,WFC3/UVIS,10770.71875291528,exact,1.0,1.4000000000000001,True,UNSCANNED
11,NGC 7331::hst_5397_1v_wfpc2_pc_f555w_u2781v::hst_17506_25_wfc3_uvis_f555w_if8c25,NGC 7331,9,206809942,201411183,hst_5397_1v_wfpc2_pc_f555w_u2781v,hst_17506_25_wfc3_uvis_f555w_if8c25,HST,HST,F555W,F555W,WFPC2/PC,WFC3/UVIS,10766.895141760004,exact,1.0,1.4000000000000001,True,UNSCANNED
12,NGC 1097::w1000601t::idxr58030,NGC 1097,3,24734005,26284618,w1000601t,idxr58030,HST,HST,F555W,F555W,WFPC/PC,WFC3/UVIS,10180.261366435181,exact,1.0,1.4000000000000001,True,UNSCANNED
13,NGC 1097::w1000601t::hst_15654_05_wfc3_uvis_f555w_idxr05,NGC 1097,3,24734005,26688978,w1000601t,hst_15654_05_wfc3_uvis_f555w_idxr05,HST,HST,F555W,F555W,WFPC/PC,WFC3/UVIS,9998.267679663426,exact,1.0,1.4000000000000001,True,UNSCANNED
14,NGC 1097::w1000601t::idxr04030,NGC 1097,3,24734005,26242616,w1000601t,idxr04030,HST,HST,F555W,F555W,WFPC/PC,WFC3/UVIS,9839.904953784717,exact,1.0,1.4000000000000001,True,UNSCANNED
15,NGC 3256::hst_7466_07_wfpc2_pc_f555w_u54q07::ifck02010,NGC 3256,1,207477201,358147020,hst_7466_07_wfpc2_pc_f555w_u54q07,ifck02010,HST,HST,F555W,F555W,WFPC2/PC,WFC3/UVIS,9724.138467176112,exact,1.0,1.4000000000000001,True,UNSCANNED
16,NGC 3256::hst_7466_06_wfpc2_pc_f555w_u54q06::ifck02010,NGC 3256,1,207486666,358147020,hst_7466_06_wfpc2_pc_f555w_u54q06,ifck02010,HST,HST,F555W,F555W,WFPC2/PC,WFC3/UVIS,9523.744020036116,exact,1.0,1.4000000000000001,True,UNSCANNED
17,NGC 3256::hst_8669_42_wfpc2_pc_f555w_u67q42::ifck02010,NGC 3256,1,207647227,358147020,hst_8669_42_wfpc2_pc_f555w_u67q42,ifck02010,HST,HST,F555W,F555W,WFPC2/PC,WFC3/UVIS,9275.350949946114,exact,1.0,1.4000000000000001,True,UNSCANNED
18,NGC 3256::hst_8669_41_wfpc2_pc_f555w_u67q41::ifck02010,NGC 3256,1,207607126,358147020,hst_8669_41_wfpc2_pc_f555w_u67q41,ifck02010,HST,HST,F555W,F555W,WFPC2/PC,WFC3/UVIS,9258.063449706111,exact,1.0,1.4000000000000001,True,UNSCANNED
19,NGC 1365::hst_5222_01_wfpc2_pc_f555w_u2kv01::hst_15654_09_wfc3_uvis_f555w_idxr09,NGC 1365,2,207053443,26689625,hst_5222_01_wfpc2_pc_f555w_u2kv01,hst_15654_09_wfc3_uvis_f555w_idxr09,HST,HST,F555W,F555W,WFPC2/PC,WFC3/UVIS,8952.405439660004,exact,1.0,1.4000000000000001,True,UNSCANNED
20,NGC 1365::hst_5222_01_wfpc2_pc_f336w_u2kv01::hst_15654_09_wfc3_uvis_f336w_idxr09,NGC 1365,2,207053582,26689611,hst_5222_01_wfpc2_pc_f336w_u2kv01,hst_15654_09_wfc3_uvis_f336w_idxr09,HST,HST,F336W,F336W,WFPC2/PC,WFC3/UVIS,8952.40004596,exact,1.0,1.4000000000000001,True,UNSCANNED
21,NGC 1365::hst_5222_01_wfpc2_pc_f814w_u2kv01::idxr09030,NGC 1365,2,207050855,26236736,hst_5222_01_wfpc2_pc_f814w_u2kv01,idxr09030,HST,HST,F814W,F814W,WFPC2/PC,WFC3/UVIS,8952.33163187722,exact,1.0,1.4000000000000001,True,UNSCANNED
22,NGC 1365::hst_5222_01_wfpc2_pc_f814w_u2kv01::hst_15645_41_acs_wfc_f814w_jdxk41,NGC 1365,2,207050855,26493146,hst_5222_01_wfpc2_pc_f814w_u2kv01,hst_15645_41_acs_wfc_f814w_jdxk41,HST,HST,F814W,F814W,WFPC2/PC,ACS/WFC,8847.655447879995,exact,1.0,1.4000000000000001,True,UNSCANNED
