closure_rank,candidate_id,galaxy_name,status,closure_class,closure_confidence,export_failure_score,dust_survivor_score,systematic_like_score,unresolved_score,fade_fraction,fade_sigma,baseline_days,mid_ir_survivor_flag,dusty_color_flag,followup_exists,followup_persistent_fade_fraction,closure_reason_codes_json
1,MESSIER_077_hst_15151_04_wfc3_uvis_f555w_idm104_hst_17502_01_wfc3_uvis_f555w_ifab01_0138,MESSIER 077,REVIEW,DUST_SURVIVOR_LIKE,MEDIUM,0.0,0.85,0.5825992654032129,0.7342854603997782,0.5657062711776479,15.168535715784321,1904.6113411999977,True,True,False,,"[""HIGH_SIGNIFICANCE_FADE"", ""LONG_BASELINE"", ""LOCALLY_UNIQUE"", ""MID_IR_SURVIVOR"", ""DUSTY_COLOR"", ""BLEND_RISK"", ""CROWDED_FIELD"", ""CROSS_REDUCTION_TENSION"", ""NO_ALL_EPOCH_FOLLOWUP""]"
2,NGC_5861_hst_15145_78_wfc3_ir_f160w_idgg78_hst_16250_14_wfc3_ir_f160w_iebs14_0025,NGC 5861,PASS,EXPORT_FAILURE_LIKE,HIGH,0.6293402411482684,0.0,0.12217336407356036,0.3959154665805865,0.9706283873881342,82.80852123904357,1456.6248059200007,False,False,True,1.0,"[""NEAR_TOTAL_DISAPPEARANCE"", ""SUB_5PCT_POST"", ""HIGH_SIGNIFICANCE_FADE"", ""LONG_BASELINE"", ""ALL_EPOCH_FOLLOWUP"", ""MULTIFILTER_PERSISTENCE""]"
3,MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003,MESSIER 101,PASS,EXPORT_FAILURE_LIKE,HIGH,0.6036926233456557,0.0,0.18562730329207747,0.35926785645902864,0.9998673283300183,12.616354440181974,5327.955672479999,False,False,True,1.0,"[""NEAR_TOTAL_DISAPPEARANCE"", ""SUB_5PCT_POST"", ""HIGH_SIGNIFICANCE_FADE"", ""LONG_BASELINE"", ""ALL_EPOCH_FOLLOWUP"", ""MULTIFILTER_PERSISTENCE""]"
4,NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,PASS,EXPORT_FAILURE_LIKE,LOW,0.595450501837577,0.0,0.1302100682739457,0.5519136510011209,0.9748675755671926,111.45198883292728,1494.5039734999955,False,False,True,1.0,"[""NEAR_TOTAL_DISAPPEARANCE"", ""SUB_5PCT_POST"", ""HIGH_SIGNIFICANCE_FADE"", ""LONG_BASELINE"", ""ALL_EPOCH_FOLLOWUP"", ""MULTIFILTER_PERSISTENCE""]"
5,NGC_5728_hst_15640_21_wfc3_ir_f160w_idxb21_hst_15640_2b_wfc3_ir_f160w_idxb2b_0137,NGC 5728,REVIEW,SYSTEMATIC_LIKE,MEDIUM,0.0,0.0,0.6588788205527031,0.7886542979478198,0.43780585589094867,5.383186499327959,104.54148456999974,False,False,False,,"[""SUB_5PCT_POST"", ""LOCALLY_UNIQUE"", ""BLEND_RISK"", ""CROWDED_FIELD"", ""CROSS_REDUCTION_TENSION"", ""NO_ALL_EPOCH_FOLLOWUP""]"
6,MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0225,MESSIER 101,REVIEW,VARIABLE_OR_UNRESOLVED,MEDIUM,0.5257934065993652,0.15,0.2413528427366631,0.6355546603966442,0.8708693564665664,35.36370939548412,5327.955672479999,False,False,False,,"[""STRONG_FADE"", ""HIGH_SIGNIFICANCE_FADE"", ""LONG_BASELINE"", ""LOCALLY_UNIQUE"", ""NO_ALL_EPOCH_FOLLOWUP""]"
7,MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0008,MESSIER 101,REVIEW,VARIABLE_OR_UNRESOLVED,MEDIUM,0.5078781487120873,0.0,0.2580760874143166,0.7459658929162674,1.0011575667798174,983.4240668774066,5327.955672479999,False,False,False,,"[""NEAR_TOTAL_DISAPPEARANCE"", ""SUB_5PCT_POST"", ""HIGH_SIGNIFICANCE_FADE"", ""LONG_BASELINE"", ""NO_ALL_EPOCH_FOLLOWUP""]"
8,MESSIER_066_hst_12968_01_wfc3_uvis_f438w_ic0h01_hst_15654_22_wfc3_uvis_f438w_idxr22_0217,MESSIER 066,REVIEW,VARIABLE_OR_UNRESOLVED,MEDIUM,0.4880054962545031,0.15,0.2240621040679746,0.6255737788878368,0.5432121518109829,58.01603587875941,2203.6784212899947,False,False,False,,"[""HIGH_SIGNIFICANCE_FADE"", ""LONG_BASELINE"", ""LOCALLY_UNIQUE"", ""NO_ALL_EPOCH_FOLLOWUP""]"
9,MESSIER_066_hst_12968_01_wfc3_uvis_f814w_ic0h01_hst_15654_22_wfc3_uvis_f814w_idxr22_0091,MESSIER 066,REVIEW,VARIABLE_OR_UNRESOLVED,MEDIUM,0.45134741775682063,0.15,0.23428415279528905,0.6606042687141946,0.6801004989728114,33.14250249721117,2203.5971594500006,False,False,False,,"[""HIGH_SIGNIFICANCE_FADE"", ""LONG_BASELINE"", ""LOCALLY_UNIQUE"", ""NO_ALL_EPOCH_FOLLOWUP""]"
10,MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_1314,MESSIER 101,REVIEW,VARIABLE_OR_UNRESOLVED,MEDIUM,0.44414700604062607,0.15,0.2361254955787556,0.7653570166681943,0.908838023675084,52.14458039975438,5327.955672479999,False,False,False,,"[""STRONG_FADE"", ""HIGH_SIGNIFICANCE_FADE"", ""LONG_BASELINE"", ""NO_ALL_EPOCH_FOLLOWUP""]"
