pair_id,galaxy_name,galaxy_rank,obsid_1,obsid_2,obs_id_1,obs_id_2,obs_collection_1,obs_collection_2,filter_1,filter_2,instrument_1,instrument_2,baseline_days,compatibility,compatibility_score,pair_score,public_both,pixel_priority
MESSIER 083::hst_9299_08_acs_wfc_f475w-pol0v_j8e808::hst_17747_25_acs_wfc_f475w_jfgf25,MESSIER 083,25,26325802,378125577,hst_9299_08_acs_wfc_f475w-pol0v_j8e808,hst_17747_25_acs_wfc_f475w_jfgf25,HST,HST,F475W,F475W,ACS/WFC,ACS/WFC,8564.847515770001,exact,1.0,1.4000000000000001,True,2.2966385169535934
MESSIER 083::hst_9774_0h_acs_wfc_f814w_j8ph0h::hst_17747_26_acs_wfc_f814w_jfgf26,MESSIER 083,25,26349913,378063553,hst_9774_0h_acs_wfc_f814w_j8ph0h,hst_17747_26_acs_wfc_f814w_jfgf26,HST,HST,F814W,F814W,ACS/WFC,ACS/WFC,7850.81778171,exact,1.0,1.4000000000000001,True,2.29474851061545
NGC 1309::hst_10497_03_acs_wfc_f555w_j9cb03::hst_17907_03_acs_wfc_f555w_jfjg03,NGC 1309,89,26428572,355634786,hst_10497_03_acs_wfc_f555w_j9cb03,hst_17907_03_acs_wfc_f555w_jfjg03,HST,HST,F555W,F555W,ACS/WFC,ACS/WFC,7370.95530645,exact,1.0,1.4000000000000001,True,2.2933791346790815
NGC 1309::hst_10497_03_acs_wfc_f555w_j9cb03::hst_17907_04_acs_wfc_f555w_jfjg04,NGC 1309,89,26428572,355633917,hst_10497_03_acs_wfc_f555w_j9cb03,hst_17907_04_acs_wfc_f555w_jfjg04,HST,HST,F555W,F555W,ACS/WFC,ACS/WFC,7369.189056449999,exact,1.0,1.4000000000000001,True,2.2933739314154757
NGC 1097::hst_9788_03_acs_wfc_f814w_j8mx03::hst_15654_58_acs_wfc_f814w_jdxr58,NGC 1097,3,26352154,26493087,hst_9788_03_acs_wfc_f814w_j8mx03,hst_15654_58_acs_wfc_f814w_jdxr58,HST,HST,F814W,F814W,ACS/WFC,ACS/WFC,5914.974981600004,exact,1.0,1.4000000000000001,True,2.2886013164358165
NGC 4388::hst_12185_07_wfc3_uvis_f438w_ibig07::hst_17777_01_wfc3_uvis_f438w_ifd601,NGC 4388,115,26576868,378426379,hst_12185_07_wfc3_uvis_f438w_ibig07,hst_17777_01_wfc3_uvis_f438w_ifd601,HST,HST,F438W,F438W,WFC3/UVIS,WFC3/UVIS,5378.4117514300015,exact,1.0,1.4000000000000001,True,2.286536739368118
MESSIER 101::hst_9490_02_acs_wfc_f555w_j8d602::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,67,26321563,26481492,hst_9490_02_acs_wfc_f555w_j8d602,hst_14678_01_acs_wfc_f555w_jd6v01,HST,HST,F555W,F555W,ACS/WFC,ACS/WFC,5327.955672479999,exact,1.0,1.4000000000000001,True,2.2863321053845604
MESSIER 101::hst_9490_a1_acs_wfc_f555w_j8d6a1::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,67,26321614,26481492,hst_9490_a1_acs_wfc_f555w_j8d6a1,hst_14678_01_acs_wfc_f555w_jd6v01,HST,HST,F555W,F555W,ACS/WFC,ACS/WFC,5325.682963969994,exact,1.0,1.4000000000000001,True,2.286322842450507
NGC 7172::hst_skycell-p0708x19y03_acs_wfc_f814w_all::hst_15444_dx_acs_wfc_f814w_jdrwdx,NGC 7172,58,83205039,26490605,hst_skycell-p0708x19y03_acs_wfc_f814w_all,hst_15444_dx_acs_wfc_f814w_jdrwdx,HST,HST,F814W,F814W,ACS/WFC,ACS/WFC,5241.1353026,exact,1.0,1.4000000000000001,True,2.2859754113075823
MESSIER 074::hst_9733_01_acs_wfc_f606w_j8nv01::hst_13804_01_acs_wfc_f606w_jcmx01,MESSIER 074,126,26356875,26467174,hst_9733_01_acs_wfc_f606w_j8nv01,hst_13804_01_acs_wfc_f606w_jcmx01,HST,HST,F606W,F606W,ACS/WFC,ACS/WFC,4531.160973880003,exact,1.0,1.4000000000000001,True,2.282815266339646
MESSIER 074::hst_13364_20_wfc3_uvis_f336w_icdm20::hst_17932_09_wfc3_uvis_f336w_ifkj09,MESSIER 074,126,26606441,318944358,hst_13364_20_wfc3_uvis_f336w_icdm20,hst_17932_09_wfc3_uvis_f336w_ifkj09,HST,HST,F336W,F336W,WFC3/UVIS,WFC3/UVIS,4330.60247844,exact,1.0,1.4000000000000001,True,2.281832429676732
MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01,MESSIER 100,20,26508855,60942197,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16500_01_wfc3_uvis_f555w_iejn01,HST,HST,F555W,F555W,WFC3/UVIS,WFC3/UVIS,4212.60654827,exact,1.0,1.4000000000000001,True,2.281232699013856
NGC 1097::hst_13413_01_wfc3_uvis_f657n_icc501::hst_17457_04_wfc3_uvis_f657n_if8k04,NGC 1097,3,26602179,309493197,hst_13413_01_wfc3_uvis_f657n_icc501,hst_17457_04_wfc3_uvis_f657n_if8k04,HST,HST,F657N,F657N,WFC3/UVIS,WFC3/UVIS,4199.112101659994,exact,1.0,1.4000000000000001,True,2.2811630440970694
NGC 4414::hst_12888_01_wfc3_uvis_f555w_ibzv01::hst_17413_31_wfc3_uvis_f555w_if8731,NGC 4414,46,26579158,215035418,hst_12888_01_wfc3_uvis_f555w_ibzv01,hst_17413_31_wfc3_uvis_f555w_if8731,HST,HST,F555W,F555W,WFC3/UVIS,WFC3/UVIS,3963.153147539997,exact,1.0,1.4000000000000001,True,2.279907521214057
MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16075_01_wfc3_uvis_f555w_ie9801,MESSIER 100,20,26508855,26713019,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16075_01_wfc3_uvis_f555w_ie9801,HST,HST,F555W,F555W,WFC3/UVIS,WFC3/UVIS,3843.6295484599977,exact,1.0,1.4000000000000001,True,2.2792427249726663
NGC 4414::hst_12888_01_wfc3_uvis_f555w_ibzv01::hst_17413_30_wfc3_uvis_f555w_if8730,NGC 4414,46,26579158,201407166,hst_12888_01_wfc3_uvis_f555w_ibzv01,hst_17413_30_wfc3_uvis_f555w_if8730,HST,HST,F555W,F555W,WFC3/UVIS,WFC3/UVIS,3828.319923789997,exact,1.0,1.4000000000000001,True,2.2791560825682655
MESSIER 099::hst_12118_04_wfc3_uvis_f814w_ibfx04::hst_15654_24_wfc3_uvis_f814w_idxr24,MESSIER 099,48,26571628,26698324,hst_12118_04_wfc3_uvis_f814w_ibfx04,hst_15654_24_wfc3_uvis_f814w_idxr24,HST,HST,F814W,F814W,WFC3/UVIS,WFC3/UVIS,3558.0875048499947,exact,1.0,1.4000000000000001,True,2.2775669332918236
NGC 4536::hst_11570_24_wfc3_uvis_f555w_ib1f24::hst_15654_29_wfc3_uvis_f555w_idxr29,NGC 4536,102,26506213,26695642,hst_11570_24_wfc3_uvis_f555w_ib1f24,hst_15654_29_wfc3_uvis_f555w_idxr29,HST,HST,F555W,F555W,WFC3/UVIS,WFC3/UVIS,3534.4128637299946,exact,1.0,1.4000000000000001,True,2.2774220068892452
NGC 1448::hst_12880_16_wfc3_ir_f160w_ic1316::hst_17000_06_wfc3_ir_f160w_iev206,NGC 1448,107,26583000,116143396,hst_12880_16_wfc3_ir_f160w_ic1316,hst_17000_06_wfc3_ir_f160w_iev206,HST,HST,F160W,F160W,WFC3/IR,WFC3/IR,3428.9285568699997,exact,1.0,1.4000000000000001,True,2.2767642537035924
NGC 1448::hst_12880_20_wfc3_ir_f160w_ic1320::hst_17000_06_wfc3_ir_f160w_iev206,NGC 1448,107,26583618,116143396,hst_12880_20_wfc3_ir_f160w_ic1320,hst_17000_06_wfc3_ir_f160w_iev206,HST,HST,F160W,F160W,WFC3/IR,WFC3/IR,3402.4069358900015,exact,1.0,1.4000000000000001,True,2.2765956939791154
NGC 4039::hst_11577_91_acs_wfc_f814w_jb5u91::hst_15645_19_acs_wfc_f814w_jdxk19,NGC 4039,7,26417986,26493562,hst_11577_91_acs_wfc_f814w_jb5u91,hst_15645_19_acs_wfc_f814w_jdxk19,HST,HST,F814W,F814W,ACS/WFC,ACS/WFC,3385.5115249500013,exact,1.0,1.4000000000000001,True,2.276487627896627
NGC 4039::hst_11577_20_acs_wfc_f814w_jb5u20::hst_15645_19_acs_wfc_f814w_jdxk19,NGC 4039,7,26416927,26493562,hst_11577_20_acs_wfc_f814w_jb5u20,hst_15645_19_acs_wfc_f814w_jdxk19,HST,HST,F814W,F814W,ACS/WFC,ACS/WFC,3382.829707249999,exact,1.0,1.4000000000000001,True,2.276470424942602
MESSIER 061::hst_skycell-p1458x13y04_acs_wfc_f814w_all::hst_12574_01_acs_wfc_f814w_jbs801,MESSIER 061,15,87488056,26448734,hst_skycell-p1458x13y04_acs_wfc_f814w_all,hst_12574_01_acs_wfc_f814w_jbs801,HST,HST,F814W,F814W,ACS/WFC,ACS/WFC,3368.4125866800023,exact,1.0,1.4000000000000001,True,2.276377709693422
