pair_id,galaxy_name,obs_id_1,obs_id_2,filter_1,filter_2,compatibility,baseline_days,pair_score,status,error,n_residual_detections,n_survivors,registration_dx_px,registration_dy_px,registration_residual_px,registration_n_matches,scale_factor_post_to_pre,n_scale_sources,pair_stable_fraction,pair_extreme_fade_fraction,pair_is_stable,n_fade_survivors,n_brighten_survivors,obsid_1,obsid_2,product_filename_1,product_filename_2,product_uri_1,product_uri_2,product_path_1,product_path_2,product_priority_1,product_priority_2,image_ext_1,image_ext_2
MESSIER 083::hst_9299_08_acs_wfc_f475w-pol0v_j8e808::hst_17747_25_acs_wfc_f475w_jfgf25,MESSIER 083,hst_9299_08_acs_wfc_f475w-pol0v_j8e808,hst_17747_25_acs_wfc_f475w_jfgf25,F475W,F475W,exact,8564.847515770001,1.4000000000000001,FAILED,No suitable calibrated FITS product for hst_17747_25_acs_wfc_f475w_jfgf25,0,0,,,,,,,,,,,,,,,,,,,,,,,
MESSIER 083::hst_9774_0h_acs_wfc_f814w_j8ph0h::hst_17747_26_acs_wfc_f814w_jfgf26,MESSIER 083,hst_9774_0h_acs_wfc_f814w_j8ph0h,hst_17747_26_acs_wfc_f814w_jfgf26,F814W,F814W,exact,7850.81778171,1.4000000000000001,FAILED,No suitable calibrated FITS product for hst_17747_26_acs_wfc_f814w_jfgf26,0,0,,,,,,,,,,,,,,,,,,,,,,,
NGC 1309::hst_10497_03_acs_wfc_f555w_j9cb03::hst_17907_03_acs_wfc_f555w_jfjg03,NGC 1309,hst_10497_03_acs_wfc_f555w_j9cb03,hst_17907_03_acs_wfc_f555w_jfjg03,F555W,F555W,exact,7370.95530645,1.4000000000000001,FAILED,No suitable calibrated FITS product for hst_17907_03_acs_wfc_f555w_jfjg03,0,0,,,,,,,,,,,,,,,,,,,,,,,
NGC 1309::hst_10497_03_acs_wfc_f555w_j9cb03::hst_17907_04_acs_wfc_f555w_jfjg04,NGC 1309,hst_10497_03_acs_wfc_f555w_j9cb03,hst_17907_04_acs_wfc_f555w_jfjg04,F555W,F555W,exact,7369.189056449999,1.4000000000000001,FAILED,No suitable calibrated FITS product for hst_17907_04_acs_wfc_f555w_jfjg04,0,0,,,,,,,,,,,,,,,,,,,,,,,
NGC 1097::hst_9788_03_acs_wfc_f814w_j8mx03::hst_15654_58_acs_wfc_f814w_jdxr58,NGC 1097,hst_9788_03_acs_wfc_f814w_j8mx03,hst_15654_58_acs_wfc_f814w_jdxr58,F814W,F814W,exact,5914.974981600004,1.4000000000000001,FAILED,Insufficient overlap after WCS reprojection.,0,0,,,,,,,,,,,,,,,,,,,,,,,
NGC 4388::hst_12185_07_wfc3_uvis_f438w_ibig07::hst_17777_01_wfc3_uvis_f438w_ifd601,NGC 4388,hst_12185_07_wfc3_uvis_f438w_ibig07,hst_17777_01_wfc3_uvis_f438w_ifd601,F438W,F438W,exact,5378.4117514300015,1.4000000000000001,FAILED,No suitable calibrated FITS product for hst_17777_01_wfc3_uvis_f438w_ifd601,0,0,,,,,,,,,,,,,,,,,,,,,,,
MESSIER 101::hst_9490_02_acs_wfc_f555w_j8d602::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,hst_9490_02_acs_wfc_f555w_j8d602,hst_14678_01_acs_wfc_f555w_jd6v01,F555W,F555W,exact,5327.955672479999,1.4000000000000001,SCANNED,,499,84,0.04989046794617025,-0.9533516044621138,0.2913816322848004,249.0,0.9476692416960506,168.0,0.889273356401384,0.01730103806228374,True,84.0,0.0,26321563.0,26481492.0,hst_9490_02_acs_wfc_f555w_j8d602_drc.fits,hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits,mast:HST/product/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits,mast:HST/product/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits,181.0,181.0,SCI,SCI
MESSIER 101::hst_9490_a1_acs_wfc_f555w_j8d6a1::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,hst_9490_a1_acs_wfc_f555w_j8d6a1,hst_14678_01_acs_wfc_f555w_jd6v01,F555W,F555W,exact,5325.682963969994,1.4000000000000001,FAILED,Insufficient overlap after WCS reprojection.,0,0,,,,,,,,,,,,,,,,,,,,,,,
NGC 7172::hst_skycell-p0708x19y03_acs_wfc_f814w_all::hst_15444_dx_acs_wfc_f814w_jdrwdx,NGC 7172,hst_skycell-p0708x19y03_acs_wfc_f814w_all,hst_15444_dx_acs_wfc_f814w_jdrwdx,F814W,F814W,exact,5241.1353026,1.4000000000000001,SCANNED,,488,2,-0.009399207806382037,-0.0003755993220693199,0.1596062181878261,166.0,1.6858171562009383,68.0,0.7380073800738007,0.01107011070110701,True,2.0,0.0,83205039.0,26490605.0,hst_skycell-p0708x19y03_acs_wfc_f814w_all_drc.fits,hst_15444_dx_acs_wfc_f814w_jdrwdx_drc.fits,mast:HST/product/hst_skycell-p0708x19y03_acs_wfc_f814w_all_drc.fits,mast:HST/product/hst_15444_dx_acs_wfc_f814w_jdrwdx_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_skycell-p0708x19y03_acs_wfc_f814w_all/hst_skycell-p0708x19y03_acs_wfc_f814w_all_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15444_dx_acs_wfc_f814w_jdrwdx/hst_15444_dx_acs_wfc_f814w_jdrwdx_drc.fits,181.0,181.0,SCI,SCI
MESSIER 074::hst_9733_01_acs_wfc_f606w_j8nv01::hst_13804_01_acs_wfc_f606w_jcmx01,MESSIER 074,hst_9733_01_acs_wfc_f606w_j8nv01,hst_13804_01_acs_wfc_f606w_jcmx01,F606W,F606W,exact,4531.160973880003,1.4000000000000001,FAILED,Insufficient overlap after WCS reprojection.,0,0,,,,,,,,,,,,,,,,,,,,,,,
MESSIER 074::hst_13364_20_wfc3_uvis_f336w_icdm20::hst_17932_09_wfc3_uvis_f336w_ifkj09,MESSIER 074,hst_13364_20_wfc3_uvis_f336w_icdm20,hst_17932_09_wfc3_uvis_f336w_ifkj09,F336W,F336W,exact,4330.60247844,1.4000000000000001,FAILED,Insufficient overlap after WCS reprojection.,0,0,,,,,,,,,,,,,,,,,,,,,,,
