[2026-03-11T00:17:09.702157Z] run start mode=difference_upgrade resume=True sign_mode=fade
[2026-03-11T00:17:09.834635Z] pair skipped pair_id=MESSIER 083::hst_9299_08_acs_wfc_f475w-pol0v_j8e808::hst_17747_25_acs_wfc_f475w_jfgf25 reason=RESTRICTED_DATA_RIGHTS:hst_17747_25_acs_wfc_f475w_jfgf25:EXCLUSIVE_ACCESS
[2026-03-11T00:17:09.864125Z] pair skipped pair_id=MESSIER 083::hst_9774_0h_acs_wfc_f814w_j8ph0h::hst_17747_26_acs_wfc_f814w_jfgf26 reason=RESTRICTED_DATA_RIGHTS:hst_17747_26_acs_wfc_f814w_jfgf26:EXCLUSIVE_ACCESS
[2026-03-11T00:17:09.891828Z] pair skipped pair_id=NGC 1309::hst_10497_03_acs_wfc_f555w_j9cb03::hst_17907_03_acs_wfc_f555w_jfjg03 reason=RESTRICTED_DATA_RIGHTS:hst_17907_03_acs_wfc_f555w_jfjg03:EXCLUSIVE_ACCESS
[2026-03-11T00:17:09.923232Z] pair skipped pair_id=NGC 1309::hst_10497_03_acs_wfc_f555w_j9cb03::hst_17907_04_acs_wfc_f555w_jfjg04 reason=RESTRICTED_DATA_RIGHTS:hst_17907_04_acs_wfc_f555w_jfjg04:EXCLUSIVE_ACCESS
[2026-03-11T00:17:11.664041Z] pair skipped pair_id=NGC 1097::hst_9788_03_acs_wfc_f814w_j8mx03::hst_15654_58_acs_wfc_f814w_jdxr58 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:11.695945Z] pair skipped pair_id=NGC 4388::hst_12185_07_wfc3_uvis_f438w_ibig07::hst_17777_01_wfc3_uvis_f438w_ifd601 reason=RESTRICTED_DATA_RIGHTS:hst_17777_01_wfc3_uvis_f438w_ifd601:EXCLUSIVE_ACCESS
[2026-03-11T00:17:13.458049Z] pair skipped pair_id=MESSIER 101::hst_9490_02_acs_wfc_f555w_j8d602::hst_14678_01_acs_wfc_f555w_jd6v01 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:14.012252Z] pair skipped pair_id=MESSIER 101::hst_9490_a1_acs_wfc_f555w_j8d6a1::hst_14678_01_acs_wfc_f555w_jd6v01 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:16.383256Z] pair skipped pair_id=NGC 7172::hst_skycell-p0708x19y03_acs_wfc_f814w_all::hst_15444_dx_acs_wfc_f814w_jdrwdx reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:17.446348Z] pair skipped pair_id=MESSIER 074::hst_9733_01_acs_wfc_f606w_j8nv01::hst_13804_01_acs_wfc_f606w_jcmx01 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:18.758758Z] pair skipped pair_id=MESSIER 074::hst_13364_20_wfc3_uvis_f336w_icdm20::hst_17932_09_wfc3_uvis_f336w_ifkj09 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:19.863775Z] pair skipped pair_id=MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:21.599948Z] pair skipped pair_id=NGC 1097::hst_13413_01_wfc3_uvis_f657n_icc501::hst_17457_04_wfc3_uvis_f657n_if8k04 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:23.423249Z] pair skipped pair_id=NGC 4414::hst_12888_01_wfc3_uvis_f555w_ibzv01::hst_17413_31_wfc3_uvis_f555w_if8731 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:24.217622Z] pair skipped pair_id=MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16075_01_wfc3_uvis_f555w_ie9801 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:24.769091Z] pair skipped pair_id=NGC 4414::hst_12888_01_wfc3_uvis_f555w_ibzv01::hst_17413_30_wfc3_uvis_f555w_if8730 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:26.330813Z] pair skipped pair_id=MESSIER 099::hst_12118_04_wfc3_uvis_f814w_ibfx04::hst_15654_24_wfc3_uvis_f814w_idxr24 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:27.851022Z] pair skipped pair_id=NGC 4536::hst_11570_24_wfc3_uvis_f555w_ib1f24::hst_15654_29_wfc3_uvis_f555w_idxr29 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:28.475933Z] pair skipped pair_id=NGC 1448::hst_12880_16_wfc3_ir_f160w_ic1316::hst_17000_06_wfc3_ir_f160w_iev206 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:28.790579Z] pair skipped pair_id=NGC 1448::hst_12880_20_wfc3_ir_f160w_ic1320::hst_17000_06_wfc3_ir_f160w_iev206 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
