candidate_id,galaxy_name,irsa_catalog,status,match_sep_arcsec,w1mpro,w2mpro,w3mpro,w4mpro,w1_w2,mid_ir_survivor_flag,dusty_color_flag,error
MESSIER_077_hst_15151_04_wfc3_uvis_f555w_idm104_hst_17502_01_wfc3_uvis_f555w_ifab01_0138,MESSIER 077,allwise_p3as_psd,MATCHED,0.049803897062605906,4.165999889373779,3.0409998893737793,-0.5669999718666077,-2.5850000381469727,1.125,True,True,
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_1397,MESSIER 101,allwise_p3as_psd,MATCHED,2.1588347495307225,14.96399974822998,17.0,11.222999572753906,8.696000099182129,-2.0360002517700195,False,False,
NGC_5861_hst_15145_78_wfc3_ir_f160w_idgg78_hst_16250_14_wfc3_ir_f160w_iebs14_0025,NGC 5861,allwise_p3as_psd,NO_MATCH,,,,,,,False,False,
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003,MESSIER 101,allwise_p3as_psd,NO_MATCH,,,,,,,False,False,
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,allwise_p3as_psd,NO_MATCH,,,,,,,False,False,
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_1314,MESSIER 101,allwise_p3as_psd,NO_MATCH,,,,,,,False,False,
MESSIER_066_hst_12968_01_wfc3_uvis_f438w_ic0h01_hst_15654_22_wfc3_uvis_f438w_idxr22_0217,MESSIER 066,allwise_p3as_psd,NO_MATCH,,,,,,,False,False,
MESSIER_077_hst_15151_04_wfc3_uvis_f814w_idm104_hst_17502_01_wfc3_uvis_f814w_ifab01_0257,MESSIER 077,allwise_p3as_psd,NO_MATCH,,,,,,,False,False,
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0449,MESSIER 101,allwise_p3as_psd,NO_MATCH,,,,,,,False,False,
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0225,MESSIER 101,allwise_p3as_psd,NO_MATCH,,,,,,,False,False,
MESSIER_066_hst_12968_01_wfc3_uvis_f814w_ic0h01_hst_15654_22_wfc3_uvis_f814w_idxr22_0091,MESSIER 066,allwise_p3as_psd,NO_MATCH,,,,,,,False,False,
6dF_J0245599-073443_hst_11575_02_acs_wfc_f814w_jb4u02_hst_14226_01_acs_wfc_f814w_jcuc01_0061,6dF J0245599-073443,allwise_p3as_psd,NO_MATCH,,,,,,,False,False,
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0008,MESSIER 101,allwise_p3as_psd,NO_MATCH,,,,,,,False,False,
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_1266,MESSIER 101,allwise_p3as_psd,NO_MATCH,,,,,,,False,False,
6dF_J0245599-073443_hst_11575_02_acs_wfc_f814w_jb4u02_hst_14226_01_acs_wfc_f814w_jcuc01_0002,6dF J0245599-073443,allwise_p3as_psd,NO_MATCH,,,,,,,False,False,
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_1482,MESSIER 101,allwise_p3as_psd,NO_MATCH,,,,,,,False,False,
MESSIER_061_hst_skycell-p1458x13y04_acs_wfc_f814w_all_hst_12574_01_acs_wfc_f814w_jbs801_0033,MESSIER 061,allwise_p3as_psd,NO_MATCH,,,,,,,False,False,
NGC_5728_hst_15640_21_wfc3_ir_f160w_idxb21_hst_15640_2b_wfc3_ir_f160w_idxb2b_0137,NGC 5728,allwise_p3as_psd,NO_MATCH,,,,,,,False,False,
