pair_id,galaxy_name,obs_id_1,obs_id_2,filter_1,filter_2,compatibility,baseline_days,pair_score,status,error,n_residual_detections,n_survivors
MESSIER 083::hst_9299_08_acs_wfc_f475w-pol0v_j8e808::hst_17747_25_acs_wfc_f475w_jfgf25,MESSIER 083,hst_9299_08_acs_wfc_f475w-pol0v_j8e808,hst_17747_25_acs_wfc_f475w_jfgf25,F475W,F475W,exact,8564.847515770001,1.4000000000000001,SKIPPED,RESTRICTED_DATA_RIGHTS:hst_17747_25_acs_wfc_f475w_jfgf25:EXCLUSIVE_ACCESS,0,0
MESSIER 083::hst_9774_0h_acs_wfc_f814w_j8ph0h::hst_17747_26_acs_wfc_f814w_jfgf26,MESSIER 083,hst_9774_0h_acs_wfc_f814w_j8ph0h,hst_17747_26_acs_wfc_f814w_jfgf26,F814W,F814W,exact,7850.81778171,1.4000000000000001,SKIPPED,RESTRICTED_DATA_RIGHTS:hst_17747_26_acs_wfc_f814w_jfgf26:EXCLUSIVE_ACCESS,0,0
NGC 1309::hst_10497_03_acs_wfc_f555w_j9cb03::hst_17907_03_acs_wfc_f555w_jfjg03,NGC 1309,hst_10497_03_acs_wfc_f555w_j9cb03,hst_17907_03_acs_wfc_f555w_jfjg03,F555W,F555W,exact,7370.95530645,1.4000000000000001,SKIPPED,RESTRICTED_DATA_RIGHTS:hst_17907_03_acs_wfc_f555w_jfjg03:EXCLUSIVE_ACCESS,0,0
NGC 1309::hst_10497_03_acs_wfc_f555w_j9cb03::hst_17907_04_acs_wfc_f555w_jfjg04,NGC 1309,hst_10497_03_acs_wfc_f555w_j9cb03,hst_17907_04_acs_wfc_f555w_jfjg04,F555W,F555W,exact,7369.189056449999,1.4000000000000001,SKIPPED,RESTRICTED_DATA_RIGHTS:hst_17907_04_acs_wfc_f555w_jfjg04:EXCLUSIVE_ACCESS,0,0
NGC 1097::hst_9788_03_acs_wfc_f814w_j8mx03::hst_15654_58_acs_wfc_f814w_jdxr58,NGC 1097,hst_9788_03_acs_wfc_f814w_j8mx03,hst_15654_58_acs_wfc_f814w_jdxr58,F814W,F814W,exact,5914.974981600004,1.4000000000000001,SKIPPED,TARGET_CENTER_OUTSIDE_FOOTPRINT,0,0
NGC 4388::hst_12185_07_wfc3_uvis_f438w_ibig07::hst_17777_01_wfc3_uvis_f438w_ifd601,NGC 4388,hst_12185_07_wfc3_uvis_f438w_ibig07,hst_17777_01_wfc3_uvis_f438w_ifd601,F438W,F438W,exact,5378.4117514300015,1.4000000000000001,SKIPPED,RESTRICTED_DATA_RIGHTS:hst_17777_01_wfc3_uvis_f438w_ifd601:EXCLUSIVE_ACCESS,0,0
MESSIER 101::hst_9490_02_acs_wfc_f555w_j8d602::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,hst_9490_02_acs_wfc_f555w_j8d602,hst_14678_01_acs_wfc_f555w_jd6v01,F555W,F555W,exact,5327.955672479999,1.4000000000000001,SKIPPED,TARGET_CENTER_OUTSIDE_FOOTPRINT,0,0
MESSIER 101::hst_9490_a1_acs_wfc_f555w_j8d6a1::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,hst_9490_a1_acs_wfc_f555w_j8d6a1,hst_14678_01_acs_wfc_f555w_jd6v01,F555W,F555W,exact,5325.682963969994,1.4000000000000001,SKIPPED,TARGET_CENTER_OUTSIDE_FOOTPRINT,0,0
NGC 7172::hst_skycell-p0708x19y03_acs_wfc_f814w_all::hst_15444_dx_acs_wfc_f814w_jdrwdx,NGC 7172,hst_skycell-p0708x19y03_acs_wfc_f814w_all,hst_15444_dx_acs_wfc_f814w_jdrwdx,F814W,F814W,exact,5241.1353026,1.4000000000000001,SKIPPED,TARGET_CENTER_OUTSIDE_FOOTPRINT,0,0
MESSIER 074::hst_9733_01_acs_wfc_f606w_j8nv01::hst_13804_01_acs_wfc_f606w_jcmx01,MESSIER 074,hst_9733_01_acs_wfc_f606w_j8nv01,hst_13804_01_acs_wfc_f606w_jcmx01,F606W,F606W,exact,4531.160973880003,1.4000000000000001,SKIPPED,TARGET_CENTER_OUTSIDE_FOOTPRINT,0,0
MESSIER 074::hst_13364_20_wfc3_uvis_f336w_icdm20::hst_17932_09_wfc3_uvis_f336w_ifkj09,MESSIER 074,hst_13364_20_wfc3_uvis_f336w_icdm20,hst_17932_09_wfc3_uvis_f336w_ifkj09,F336W,F336W,exact,4330.60247844,1.4000000000000001,SKIPPED,TARGET_CENTER_OUTSIDE_FOOTPRINT,0,0
MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01,MESSIER 100,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16500_01_wfc3_uvis_f555w_iejn01,F555W,F555W,exact,4212.60654827,1.4000000000000001,SKIPPED,TARGET_CENTER_OUTSIDE_FOOTPRINT,0,0
