candidate_id,pair_id,galaxy_name,ra_deg,dec_deg,event_sign,status,diff_sigma,diff_sigma_min,post_to_pre_ratio,pre_flux,post_flux,pre_snr,post_snr,blend_risk,crowding_index,edge_distance_px,registration_dx_px,registration_dy_px,registration_residual_px,registration_n_matches,pair_stable_fraction,pair_extreme_fade_fraction,pre_obsid,post_obsid,pre_obs_id,post_obs_id,pre_obs_collection,post_obs_collection,pre_filter,post_filter,pre_instrument,post_instrument,pre_mjd,post_mjd,cutout_path,reason_codes_json,warning_flags_json,provenance_json
NGC_7172_hst_skycell-p0708x19y03_acs_wfc_f814w_all_hst_15444_dx_acs_wfc_f814w_jdrwdx_fade_0289,NGC 7172::hst_skycell-p0708x19y03_acs_wfc_f814w_all::hst_15444_dx_acs_wfc_f814w_jdrwdx,NGC 7172,330.4930191219787,-31.90654881460158,fade,PASS,217.02811671464954,168.16095504151826,0.015681255500564702,6.191101464435702,0.06134309683865899,114.21115146091454,1.673831400856564,0.0,0.0,612.2752648931688,-0.009399207806382037,-0.00037559930478892056,0.15960621818759196,166,0.7380073800738007,0.01107011070110701,83205039,26490605,hst_skycell-p0708x19y03_acs_wfc_f814w_all,hst_15444_dx_acs_wfc_f814w_jdrwdx,HST,HST,F814W,F814W,ACS/WFC,ACS/WFC,53866.03229093,59107.16759353,outputs/live_cached_smoke_run_20260311_013831/packets/NGC_7172_hst_skycell-p0708x19y03_acs_wfc_f814w_all_hst_15444_dx_acs_wfc_f814w_jdrwdx/NGC_7172_hst_skycell-p0708x19y03_acs_wfc_f814w_all_hst_15444_dx_acs_wfc_f814w_jdrwdx_fade_0289/NGC_7172_hst_skycell-p0708x19y03_acs_wfc_f814w_all_hst_15444_dx_acs_wfc_f814w_jdrwdx_fade_0289_cutout.png,"[""POST_LT_5PCT"", ""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"{""baseline_days"": 5241.1353026, ""n_scale_sources"": 68, ""pair_score"": 1.4000000000000001, ""product_info"": {""image_ext_1"": ""SCI"", ""image_ext_2"": ""SCI"", ""obs_id_1"": ""hst_skycell-p0708x19y03_acs_wfc_f814w_all"", ""obs_id_2"": ""hst_15444_dx_acs_wfc_f814w_jdrwdx"", ""obsid_1"": 83205039, ""obsid_2"": 26490605, ""product_filename_1"": ""hst_skycell-p0708x19y03_acs_wfc_f814w_all_drc.fits"", ""product_filename_2"": ""hst_15444_dx_acs_wfc_f814w_jdrwdx_drc.fits"", ""product_path_1"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_skycell-p0708x19y03_acs_wfc_f814w_all/hst_skycell-p0708x19y03_acs_wfc_f814w_all_drc.fits"", ""product_path_2"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15444_dx_acs_wfc_f814w_jdrwdx/hst_15444_dx_acs_wfc_f814w_jdrwdx_drc.fits"", ""product_priority_1"": 156.0, ""product_priority_2"": 156.0, ""product_uri_1"": ""cached://HST/hst_skycell-p0708x19y03_acs_wfc_f814w_all/hst_skycell-p0708x19y03_acs_wfc_f814w_all_drc.fits"", ""product_uri_2"": ""cached://HST/hst_15444_dx_acs_wfc_f814w_jdrwdx/hst_15444_dx_acs_wfc_f814w_jdrwdx_drc.fits""}, ""scale_factor_post_to_pre"": 1.6858171562015385}"
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0029,MESSIER 101::hst_9490_02_acs_wfc_f555w_j8d602::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,210.7376410336232,54.347620971770546,fade,PASS,119.4772890509199,88.97954302984587,-0.01744185259512795,9.75806582545735,-0.17019874574118266,83.95702748982207,1.6343656620112519,0.0,0.0,491.350180624776,0.04918502331707941,-0.9536770142615296,0.2889919905397985,246,0.8858131487889274,0.01730103806228374,26321563,26481492,hst_9490_02_acs_wfc_f555w_j8d602,hst_14678_01_acs_wfc_f555w_jd6v01,HST,HST,F555W,F555W,ACS/WFC,ACS/WFC,52591.73689722,57919.6925697,outputs/live_cached_smoke_run_20260311_013831/packets/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0029/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0029_cutout.png,"[""POST_LT_5PCT"", ""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"{""baseline_days"": 5327.955672479999, ""n_scale_sources"": 170, ""pair_score"": 1.4000000000000001, ""product_info"": {""image_ext_1"": ""SCI"", ""image_ext_2"": ""SCI"", ""obs_id_1"": ""hst_9490_02_acs_wfc_f555w_j8d602"", ""obs_id_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01"", ""obsid_1"": 26321563, ""obsid_2"": 26481492, ""product_filename_1"": ""hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_filename_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_path_1"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_path_2"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_priority_1"": 156.0, ""product_priority_2"": 156.0, ""product_uri_1"": ""cached://HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_uri_2"": ""cached://HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits""}, ""scale_factor_post_to_pre"": 0.9470894654123612}"
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0048,MESSIER 101::hst_9490_02_acs_wfc_f555w_j8d602::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,210.75185418509318,54.34879877794987,fade,PASS,89.61962446262277,62.94580090012376,-0.011669104558808825,6.31091761172933,-0.07364275747329763,76.72334435318962,1.6623390696357836,0.0,0.0,99.6393496566492,0.04918502331707941,-0.9536770142615296,0.2889919905397985,246,0.8858131487889274,0.01730103806228374,26321563,26481492,hst_9490_02_acs_wfc_f555w_j8d602,hst_14678_01_acs_wfc_f555w_jd6v01,HST,HST,F555W,F555W,ACS/WFC,ACS/WFC,52591.73689722,57919.6925697,outputs/live_cached_smoke_run_20260311_013831/packets/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0048/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0048_cutout.png,"[""POST_LT_5PCT"", ""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"{""baseline_days"": 5327.955672479999, ""n_scale_sources"": 170, ""pair_score"": 1.4000000000000001, ""product_info"": {""image_ext_1"": ""SCI"", ""image_ext_2"": ""SCI"", ""obs_id_1"": ""hst_9490_02_acs_wfc_f555w_j8d602"", ""obs_id_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01"", ""obsid_1"": 26321563, ""obsid_2"": 26481492, ""product_filename_1"": ""hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_filename_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_path_1"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_path_2"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_priority_1"": 156.0, ""product_priority_2"": 156.0, ""product_uri_1"": ""cached://HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_uri_2"": ""cached://HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits""}, ""scale_factor_post_to_pre"": 0.9470894654123612}"
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0092,MESSIER 101::hst_9490_02_acs_wfc_f555w_j8d602::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,210.74797616162337,54.35982360610034,fade,PASS,62.99418389377507,43.9790883821277,0.016214508429543327,4.254671746426729,0.06898741089737603,65.11175763891427,1.6288277866167824,0.0,0.0,530.7212074149666,0.04918502331707941,-0.9536770142615296,0.2889919905397985,246,0.8858131487889274,0.01730103806228374,26321563,26481492,hst_9490_02_acs_wfc_f555w_j8d602,hst_14678_01_acs_wfc_f555w_jd6v01,HST,HST,F555W,F555W,ACS/WFC,ACS/WFC,52591.73689722,57919.6925697,outputs/live_cached_smoke_run_20260311_013831/packets/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0092/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0092_cutout.png,"[""POST_LT_5PCT"", ""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"{""baseline_days"": 5327.955672479999, ""n_scale_sources"": 170, ""pair_score"": 1.4000000000000001, ""product_info"": {""image_ext_1"": ""SCI"", ""image_ext_2"": ""SCI"", ""obs_id_1"": ""hst_9490_02_acs_wfc_f555w_j8d602"", ""obs_id_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01"", ""obsid_1"": 26321563, ""obsid_2"": 26481492, ""product_filename_1"": ""hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_filename_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_path_1"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_path_2"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_priority_1"": 156.0, ""product_priority_2"": 156.0, ""product_uri_1"": ""cached://HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_uri_2"": ""cached://HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits""}, ""scale_factor_post_to_pre"": 0.9470894654123612}"
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0059,MESSIER 101::hst_9490_02_acs_wfc_f555w_j8d602::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,210.79138159574825,54.350627016714924,fade,PASS,54.33513605363149,43.61089131487893,0.039228930619447246,5.58254658462429,0.22617467634750898,39.87282756641179,1.9121940834488775,0.0,0.0,332.27699288394916,0.04918502331707941,-0.9536770142615296,0.2889919905397985,246,0.8858131487889274,0.01730103806228374,26321563,26481492,hst_9490_02_acs_wfc_f555w_j8d602,hst_14678_01_acs_wfc_f555w_jd6v01,HST,HST,F555W,F555W,ACS/WFC,ACS/WFC,52591.73689722,57919.6925697,outputs/live_cached_smoke_run_20260311_013831/packets/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0059/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0059_cutout.png,"[""POST_LT_5PCT"", ""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"{""baseline_days"": 5327.955672479999, ""n_scale_sources"": 170, ""pair_score"": 1.4000000000000001, ""product_info"": {""image_ext_1"": ""SCI"", ""image_ext_2"": ""SCI"", ""obs_id_1"": ""hst_9490_02_acs_wfc_f555w_j8d602"", ""obs_id_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01"", ""obsid_1"": 26321563, ""obsid_2"": 26481492, ""product_filename_1"": ""hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_filename_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_path_1"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_path_2"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_priority_1"": 156.0, ""product_priority_2"": 156.0, ""product_uri_1"": ""cached://HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_uri_2"": ""cached://HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits""}, ""scale_factor_post_to_pre"": 0.9470894654123612}"
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0076,MESSIER 101::hst_9490_02_acs_wfc_f555w_j8d602::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,210.70000572054,54.35462523830438,fade,PASS,55.104609247989025,40.031234771012656,-0.0011031078560857497,4.741871129992639,-0.005230795296041091,57.44512651658345,0.0638850959697232,0.0,0.0,22.627416997969522,0.04918502331707941,-0.9536770142615296,0.2889919905397985,246,0.8858131487889274,0.01730103806228374,26321563,26481492,hst_9490_02_acs_wfc_f555w_j8d602,hst_14678_01_acs_wfc_f555w_jd6v01,HST,HST,F555W,F555W,ACS/WFC,ACS/WFC,52591.73689722,57919.6925697,outputs/live_cached_smoke_run_20260311_013831/packets/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0076/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0076_cutout.png,"[""POST_LT_5PCT"", ""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"{""baseline_days"": 5327.955672479999, ""n_scale_sources"": 170, ""pair_score"": 1.4000000000000001, ""product_info"": {""image_ext_1"": ""SCI"", ""image_ext_2"": ""SCI"", ""obs_id_1"": ""hst_9490_02_acs_wfc_f555w_j8d602"", ""obs_id_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01"", ""obsid_1"": 26321563, ""obsid_2"": 26481492, ""product_filename_1"": ""hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_filename_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_path_1"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_path_2"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_priority_1"": 156.0, ""product_priority_2"": 156.0, ""product_uri_1"": ""cached://HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_uri_2"": ""cached://HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits""}, ""scale_factor_post_to_pre"": 0.9470894654123612}"
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0082,MESSIER 101::hst_9490_02_acs_wfc_f555w_j8d602::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,210.74071160962947,54.33262165499354,fade,PASS,37.090608586904395,34.06725730838756,0.016887914494285852,4.496789318829549,0.07594139351521134,27.04450823886823,0.43502139103787074,0.0,0.0,49.8196748283246,0.04918502331707941,-0.9536770142615296,0.2889919905397985,246,0.8858131487889274,0.01730103806228374,26321563,26481492,hst_9490_02_acs_wfc_f555w_j8d602,hst_14678_01_acs_wfc_f555w_jd6v01,HST,HST,F555W,F555W,ACS/WFC,ACS/WFC,52591.73689722,57919.6925697,outputs/live_cached_smoke_run_20260311_013831/packets/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0082/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0082_cutout.png,"[""POST_LT_5PCT"", ""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"{""baseline_days"": 5327.955672479999, ""n_scale_sources"": 170, ""pair_score"": 1.4000000000000001, ""product_info"": {""image_ext_1"": ""SCI"", ""image_ext_2"": ""SCI"", ""obs_id_1"": ""hst_9490_02_acs_wfc_f555w_j8d602"", ""obs_id_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01"", ""obsid_1"": 26321563, ""obsid_2"": 26481492, ""product_filename_1"": ""hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_filename_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_path_1"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_path_2"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_priority_1"": 156.0, ""product_priority_2"": 156.0, ""product_uri_1"": ""cached://HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_uri_2"": ""cached://HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits""}, ""scale_factor_post_to_pre"": 0.9470894654123612}"
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0110,MESSIER 101::hst_9490_02_acs_wfc_f555w_j8d602::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,210.77717301526448,54.33932933967228,fade,PASS,36.892158049664005,28.453970742382058,-0.011013818986397283,3.718778923085038,0.04765019542133975,29.02091079571367,0.6276539169136811,0.0,0.0,246.5623653358314,0.04918502331707941,-0.9536770142615296,0.2889919905397985,246,0.8858131487889274,0.01730103806228374,26321563,26481492,hst_9490_02_acs_wfc_f555w_j8d602,hst_14678_01_acs_wfc_f555w_jd6v01,HST,HST,F555W,F555W,ACS/WFC,ACS/WFC,52591.73689722,57919.6925697,outputs/live_cached_smoke_run_20260311_013831/packets/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0110/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0110_cutout.png,"[""POST_LT_5PCT"", ""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"{""baseline_days"": 5327.955672479999, ""n_scale_sources"": 170, ""pair_score"": 1.4000000000000001, ""product_info"": {""image_ext_1"": ""SCI"", ""image_ext_2"": ""SCI"", ""obs_id_1"": ""hst_9490_02_acs_wfc_f555w_j8d602"", ""obs_id_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01"", ""obsid_1"": 26321563, ""obsid_2"": 26481492, ""product_filename_1"": ""hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_filename_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_path_1"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_path_2"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_priority_1"": 156.0, ""product_priority_2"": 156.0, ""product_uri_1"": ""cached://HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_uri_2"": ""cached://HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits""}, ""scale_factor_post_to_pre"": 0.9470894654123612}"
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0182,MESSIER 101::hst_9490_02_acs_wfc_f555w_j8d602::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,210.72054419921687,54.350738299966345,fade,PASS,33.40641044844901,28.356414856195226,0.0315511433626535,2.8119034347852074,0.08871876839284587,28.131320933243863,1.1732689578934885,0.0,0.0,605.7664566481046,0.04918502331707941,-0.9536770142615296,0.2889919905397985,246,0.8858131487889274,0.01730103806228374,26321563,26481492,hst_9490_02_acs_wfc_f555w_j8d602,hst_14678_01_acs_wfc_f555w_jd6v01,HST,HST,F555W,F555W,ACS/WFC,ACS/WFC,52591.73689722,57919.6925697,outputs/live_cached_smoke_run_20260311_013831/packets/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0182/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0182_cutout.png,"[""POST_LT_5PCT"", ""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"{""baseline_days"": 5327.955672479999, ""n_scale_sources"": 170, ""pair_score"": 1.4000000000000001, ""product_info"": {""image_ext_1"": ""SCI"", ""image_ext_2"": ""SCI"", ""obs_id_1"": ""hst_9490_02_acs_wfc_f555w_j8d602"", ""obs_id_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01"", ""obsid_1"": 26321563, ""obsid_2"": 26481492, ""product_filename_1"": ""hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_filename_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_path_1"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_path_2"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_priority_1"": 156.0, ""product_priority_2"": 156.0, ""product_uri_1"": ""cached://HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_uri_2"": ""cached://HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits""}, ""scale_factor_post_to_pre"": 0.9470894654123612}"
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0134,MESSIER 101::hst_9490_02_acs_wfc_f555w_j8d602::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,210.71976993669023,54.35541049430419,fade,PASS,29.699036274008005,27.03238009928173,0.03366704769877178,3.1676144932392383,0.10664422823520625,29.439736107172738,2.1282861642947477,0.0,0.0,528.9773152035917,0.04918502331707941,-0.9536770142615296,0.2889919905397985,246,0.8858131487889274,0.01730103806228374,26321563,26481492,hst_9490_02_acs_wfc_f555w_j8d602,hst_14678_01_acs_wfc_f555w_jd6v01,HST,HST,F555W,F555W,ACS/WFC,ACS/WFC,52591.73689722,57919.6925697,outputs/live_cached_smoke_run_20260311_013831/packets/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0134/MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_fade_0134_cutout.png,"[""POST_LT_5PCT"", ""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"{""baseline_days"": 5327.955672479999, ""n_scale_sources"": 170, ""pair_score"": 1.4000000000000001, ""product_info"": {""image_ext_1"": ""SCI"", ""image_ext_2"": ""SCI"", ""obs_id_1"": ""hst_9490_02_acs_wfc_f555w_j8d602"", ""obs_id_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01"", ""obsid_1"": 26321563, ""obsid_2"": 26481492, ""product_filename_1"": ""hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_filename_2"": ""hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_path_1"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_path_2"": ""/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits"", ""product_priority_1"": 156.0, ""product_priority_2"": 156.0, ""product_uri_1"": ""cached://HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits"", ""product_uri_2"": ""cached://HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits""}, ""scale_factor_post_to_pre"": 0.9470894654123612}"
