pair_id,galaxy_name,galaxy_rank,obsid_1,obsid_2,obs_id_1,obs_id_2,obs_collection_1,obs_collection_2,filter_1,filter_2,instrument_1,instrument_2,baseline_days,compatibility,compatibility_score,pair_score,public_both,pixel_priority
MESSIER 074::jw02107-c1019_t018_miri_f2100w::jw07978-o001_t002_miri_f2100w,MESSIER 074,126,87632933,370840328,jw02107-c1019_t018_miri_f2100w,jw07978-o001_t002_miri_f2100w,JWST,JWST,F2100W,F2100W,MIRI/IMAGE,MIRI/IMAGE,1263.8205785550963,exact,1.0,1.4000000000000001,True,2.655101446146343
MESSIER 074::jw02107-c1019_t018_miri_f1130w::jw07978-o001_t002_miri_f1130w,MESSIER 074,126,87632984,370840304,jw02107-c1019_t018_miri_f1130w,jw07978-o001_t002_miri_f1130w,JWST,JWST,F1130W,F1130W,MIRI/IMAGE,MIRI/IMAGE,1263.8092731148135,exact,1.0,1.4000000000000001,True,2.655101252051135
MESSIER 074::jw02107-c1019_t018_miri_f1000w::jw07978-o001_t002_miri_f1000w,MESSIER 074,126,87632939,370840305,jw02107-c1019_t018_miri_f1000w,jw07978-o001_t002_miri_f1000w,JWST,JWST,F1000W,F1000W,MIRI/IMAGE,MIRI/IMAGE,1263.8045511625023,exact,1.0,1.4000000000000001,True,2.65510117098272
MESSIER 074::jw02107-c1019_t018_miri_f770w::jw07978-o001_t002_miri_f770w,MESSIER 074,126,87632938,370337216,jw02107-c1019_t018_miri_f770w,jw07978-o001_t002_miri_f770w,JWST,JWST,F770W,F770W,MIRI/IMAGE,MIRI/IMAGE,1263.7968754087997,exact,1.0,1.4000000000000001,True,2.655101039201585
MESSIER 074::jw02107-o040_t018_nircam_clear-f300m::jw07978-o002_t002_nircam_clear-f300m,MESSIER 074,126,87632983,370203829,jw02107-o040_t018_nircam_clear-f300m,jw07978-o002_t002_nircam_clear-f300m,JWST,JWST,F300M,F300M,NIRCAM/IMAGE,NIRCAM/IMAGE,1263.2560504629655,exact,1.0,1.4000000000000001,True,2.6550917520375705
MESSIER 074::jw02107-o040_t018_nircam_clear-f200w::jw07978-o002_t002_nircam_clear-f200w,MESSIER 074,126,218211765,370797439,jw02107-o040_t018_nircam_clear-f200w,jw07978-o002_t002_nircam_clear-f200w,JWST,JWST,F200W,F200W,NIRCAM/IMAGE,NIRCAM/IMAGE,1263.241013877312,exact,1.0,1.4000000000000001,True,2.655091493769279
MESSIER 074::jw02107-o040_t018_nircam_clear-f360m::jw07978-o002_t002_nircam_clear-f360m,MESSIER 074,126,218210418,370797076,jw02107-o040_t018_nircam_clear-f360m,jw07978-o002_t002_nircam_clear-f360m,JWST,JWST,F360M,F360M,NIRCAM/IMAGE,NIRCAM/IMAGE,1263.241013136576,exact,1.0,1.4000000000000001,True,2.6550914937565557
MESSIER 074::jw02107-o040_t018_nircam_clear-f335m::jw07978-o002_t002_nircam_clear-f335m,MESSIER 074,126,87632937,370203744,jw02107-o040_t018_nircam_clear-f335m,jw07978-o002_t002_nircam_clear-f335m,JWST,JWST,F335M,F335M,NIRCAM/IMAGE,NIRCAM/IMAGE,1263.2340539120414,exact,1.0,1.4000000000000001,True,2.655091374223923
NGC 1365::jw02107-o021_t003_nircam_clear-f200w::jw09246-o003_t003_nircam_clear-f200w,NGC 1365,2,89186263,364309227,jw02107-o021_t003_nircam_clear-f200w,jw09246-o003_t003_nircam_clear-f200w,JWST,JWST,F200W,F200W,NIRCAM/IMAGE,NIRCAM/IMAGE,1208.7926399074058,exact,1.0,1.4000000000000001,True,2.654135546901718
NGC 1365::jw02107-o021_t003_nircam_clear-f300m::jw09246-o003_t003_nircam_clear-f300m,NGC 1365,2,89120141,364309271,jw02107-o021_t003_nircam_clear-f300m,jw09246-o003_t003_nircam_clear-f300m,JWST,JWST,F300M,F300M,NIRCAM/IMAGE,NIRCAM/IMAGE,1208.774745891198,exact,1.0,1.4000000000000001,True,2.6541352257173383
