pair_id,galaxy_name,galaxy_rank,obsid_1,obsid_2,obs_id_1,obs_id_2,obs_collection_1,obs_collection_2,filter_1,filter_2,instrument_1,instrument_2,baseline_days,compatibility,compatibility_score,pair_score,public_both,pixel_priority
MESSIER 101::jw02452-o002_t002_nircam_clear-f200w::jw05398-c1144_t000_nircam_clear-f200w,MESSIER 101,67,108742734,264006136,jw02452-o002_t002_nircam_clear-f200w,jw05398-c1144_t000_nircam_clear-f200w,JWST,JWST,F200W,F200W,NIRCAM/IMAGE,NIRCAM/IMAGE,851.3008862037022,exact,1.0,1.4000000000000001,True,2.646529647000634
NGC 1365::jw02107-o021_t003_nircam_clear-f200w::jw05398-c1024_t000_nircam_clear-f200w,NGC 1365,2,89186263,233386596,jw02107-o021_t003_nircam_clear-f200w,jw05398-c1024_t000_nircam_clear-f200w,JWST,JWST,F200W,F200W,NIRCAM/IMAGE,NIRCAM/IMAGE,848.0823681481415,exact,1.0,1.4000000000000001,True,2.6464474911256888
NGC 4388::jw02064-o009_t005_miri_f1800w-sub256::jw05627-o021_t027_miri_f1800w,NGC 4388,115,150193274,279680250,jw02064-o009_t005_miri_f1800w-sub256,jw05627-o021_t027_miri_f1800w,JWST,JWST,F1800W,F1800W,MIRI/IMAGE,MIRI/IMAGE,723.4868845023157,exact,1.0,1.4000000000000001,True,2.6430015263889226
NGC 4388::jw02064-o009_t005_miri_f1500w-sub256::jw05627-o021_t027_miri_f1500w,NGC 4388,115,150189426,279680254,jw02064-o009_t005_miri_f1500w-sub256,jw05627-o021_t027_miri_f1500w,JWST,JWST,F1500W,F1500W,MIRI/IMAGE,MIRI/IMAGE,723.4821755092562,exact,1.0,1.4000000000000001,True,2.6430013852479033
NGC 4388::jw02064-o009_t005_miri_f560w-sub256::jw05627-o021_t027_miri_f560w,NGC 4388,115,150191294,279680252,jw02064-o009_t005_miri_f560w-sub256,jw05627-o021_t027_miri_f560w,JWST,JWST,F560W,F560W,MIRI/IMAGE,MIRI/IMAGE,723.4616820486117,exact,1.0,1.4000000000000001,True,2.6430007709938157
MESSIER 066::jw02107-o029_t011_nircam_clear-f335m::jw04793-o011_t011_nircam_clear-f335m,MESSIER 066,30,109508000,234389745,jw02107-o029_t011_nircam_clear-f335m,jw04793-o011_t011_nircam_clear-f335m,JWST,JWST,F335M,F335M,NIRCAM/IMAGE,NIRCAM/IMAGE,708.0771597106504,exact,1.0,1.4000000000000001,True,2.642534674820738
MESSIER 101::jw01995-o001_t001_nircam_clear-f115w::jw05398-c1144_t000_nircam_clear-f115w,MESSIER 101,67,140287690,264005642,jw01995-o001_t001_nircam_clear-f115w,jw05398-c1144_t000_nircam_clear-f115w,JWST,JWST,F115W,F115W,NIRCAM/IMAGE,NIRCAM/IMAGE,702.7494574189768,exact,1.0,1.4000000000000001,True,2.6423709036512273
MESSIER 101::jw01995-o001_t001_nircam_clear-f444w::jw05398-c1144_t000_nircam_clear-f444w,MESSIER 101,67,140287692,264005640,jw01995-o001_t001_nircam_clear-f444w,jw05398-c1144_t000_nircam_clear-f444w,JWST,JWST,F444W,F444W,NIRCAM/IMAGE,NIRCAM/IMAGE,702.7494574189768,exact,1.0,1.4000000000000001,True,2.6423709036512273
MESSIER 101::jw03921-o040_t042_miri_f2100w::jw07881-o001_t002_miri_f2100w,MESSIER 101,67,212737555,378062978,jw03921-o040_t042_miri_f2100w,jw07881-o001_t002_miri_f2100w,JWST,JWST,F2100W,F2100W,MIRI/IMAGE,MIRI/IMAGE,690.8985160648081,exact,1.0,1.4000000000000001,True,2.642002119958015
MESSIER 101::jw03921-o040_t042_miri_f1500w::jw07881-o001_t002_miri_f1500w,MESSIER 101,67,212737556,378062984,jw03921-o040_t042_miri_f1500w,jw07881-o001_t002_miri_f1500w,JWST,JWST,F1500W,F1500W,MIRI/IMAGE,MIRI/IMAGE,690.8932174768488,exact,1.0,1.4000000000000001,True,2.642001953665107
MESSIER 101::jw03921-o040_t042_miri_f770w::jw07881-o001_t002_miri_f770w,MESSIER 101,67,212737553,378062981,jw03921-o040_t042_miri_f770w,jw07881-o001_t002_miri_f770w,JWST,JWST,F770W,F770W,MIRI/IMAGE,MIRI/IMAGE,690.8823923032396,exact,1.0,1.4000000000000001,True,2.6420016139197657
MESSIER 101::jw03921-o040_t042_miri_f1000w::jw07881-o001_t002_miri_f1000w,MESSIER 101,67,212737554,378062980,jw03921-o040_t042_miri_f1000w,jw07881-o001_t002_miri_f1000w,JWST,JWST,F1000W,F1000W,MIRI/IMAGE,MIRI/IMAGE,690.8817182291677,exact,1.0,1.4000000000000001,True,2.6420015927639455
NGC 3521::jw03707-o045_t026_miri_f770w::jw09258-o010_t002_miri_f770w,NGC 3521,59,214109317,369260805,jw03707-o045_t026_miri_f770w,jw09258-o010_t002_miri_f770w,JWST,JWST,F770W,F770W,MIRI/IMAGE,MIRI/IMAGE,607.1694012615771,exact,1.0,1.4000000000000001,True,2.6392012282881416
MESSIER 101::jw03429-o003_t001_miri_f2100w::jw07881-o001_t002_miri_f2100w,MESSIER 101,67,215933239,378062978,jw03429-o003_t001_miri_f2100w,jw07881-o001_t002_miri_f2100w,JWST,JWST,F2100W,F2100W,MIRI/IMAGE,MIRI/IMAGE,602.878193518518,exact,1.0,1.4000000000000001,True,2.639047467360068
NGC 3521::jw03707-o045_t026_miri_f770w::jw09258-o006_t002_miri_f770w,NGC 3521,59,214109317,368594675,jw03707-o045_t026_miri_f770w,jw09258-o006_t002_miri_f770w,JWST,JWST,F770W,F770W,MIRI/IMAGE,MIRI/IMAGE,586.5659998958363,exact,1.0,1.4000000000000001,True,2.638452832847671
NGC 4388::jw02064-o009_t005_miri_f560w-sub256::jw05627-o022_t007_miri_f560w-sub128,NGC 4388,115,150191294,236577230,jw02064-o009_t005_miri_f560w-sub256,jw05627-o022_t007_miri_f560w-sub128,JWST,JWST,F560W,F560W,MIRI/IMAGE,MIRI/IMAGE,562.2201320370368,exact,1.0,1.4000000000000001,True,2.6375339085031104
NGC 4388::jw02064-o009_t005_miri_f1500w-sub256::jw05627-o022_t007_miri_f1500w-sub128,NGC 4388,115,150189426,236577233,jw02064-o009_t005_miri_f1500w-sub256,jw05627-o022_t007_miri_f1500w-sub128,JWST,JWST,F1500W,F1500W,MIRI/IMAGE,MIRI/IMAGE,562.2177727777744,exact,1.0,1.4000000000000001,True,2.6375338175426344
NGC 4388::jw02064-o009_t005_miri_f1800w-sub256::jw05627-o022_t007_miri_f1800w-sub128,NGC 4388,115,150193274,236577228,jw02064-o009_t005_miri_f1800w-sub256,jw05627-o022_t007_miri_f1800w-sub128,JWST,JWST,F1800W,F1800W,MIRI/IMAGE,MIRI/IMAGE,562.2139468518508,exact,1.0,1.4000000000000001,True,2.6375336700344914
MESSIER 061::jw02107-o013_t013_miri_f2100w::jw03295-o007_t004_miri_f2100w,MESSIER 061,15,112977717,214658690,jw02107-o013_t013_miri_f2100w,jw03295-o007_t004_miri_f2100w,JWST,JWST,F2100W,F2100W,MIRI/IMAGE,MIRI/IMAGE,470.01706717592606,exact,1.0,1.4000000000000001,True,2.63365183219785
MESSIER 061::jw02107-o013_t013_miri_f1000w::jw03295-o007_t004_miri_f1000w,MESSIER 061,15,112973631,214658693,jw02107-o013_t013_miri_f1000w,jw03295-o007_t004_miri_f1000w,JWST,JWST,F1000W,F1000W,MIRI/IMAGE,MIRI/IMAGE,470.00132832175586,exact,1.0,1.4000000000000001,True,2.633651106596572
MESSIER 061::jw02107-o013_t013_miri_f1130w::jw03295-o007_t004_miri_f1130w,MESSIER 061,15,112977712,214658689,jw02107-o013_t013_miri_f1130w,jw03295-o007_t004_miri_f1130w,JWST,JWST,F1130W,F1130W,MIRI/IMAGE,MIRI/IMAGE,470.0012321064787,exact,1.0,1.4000000000000001,True,2.6336511021607283
MESSIER 061::jw02107-o013_t013_miri_f770w::jw03295-o007_t004_miri_f770w,MESSIER 061,15,112973637,214658694,jw02107-o013_t013_miri_f770w,jw03295-o007_t004_miri_f770w,JWST,JWST,F770W,F770W,MIRI/IMAGE,MIRI/IMAGE,470.00084677083214,exact,1.0,1.4000000000000001,True,2.6336510843954652
NGC 1365::jw01995-o006_t006_nircam_clear-f115w::jw05398-c1024_t000_nircam_clear-f115w,NGC 1365,2,172623010,233386597,jw01995-o006_t006_nircam_clear-f115w,jw05398-c1024_t000_nircam_clear-f115w,JWST,JWST,F115W,F115W,NIRCAM/IMAGE,NIRCAM/IMAGE,467.4778328819448,exact,1.0,1.4000000000000001,True,2.6335344523028326
NGC 3521::jw03707-o045_t026_miri_f770w::jw09233-o004_t002_miri_f770w,NGC 3521,59,214109317,268466004,jw03707-o045_t026_miri_f770w,jw09233-o004_t002_miri_f770w,JWST,JWST,F770W,F770W,MIRI/IMAGE,MIRI/IMAGE,397.2512245023172,exact,1.0,1.4000000000000001,True,2.630007855989984
NGC 4388::jw06659-o001_t001_miri_f770w::jw05627-o021_t027_miri_f770w,NGC 4388,115,215777153,279680251,jw06659-o001_t001_miri_f770w,jw05627-o021_t027_miri_f770w,JWST,JWST,F770W,F770W,MIRI/IMAGE,MIRI/IMAGE,379.05062583333347,exact,1.0,1.4000000000000001,True,2.628992072601315
NGC 4388::jw06659-o001_t001_miri_f560w::jw05627-o021_t027_miri_f560w,NGC 4388,115,215777147,279680252,jw06659-o001_t001_miri_f560w,jw05627-o021_t027_miri_f560w,JWST,JWST,F560W,F560W,MIRI/IMAGE,MIRI/IMAGE,379.0344058796254,exact,1.0,1.4000000000000001,True,2.6289911458317956
MESSIER 061::jw02107-o031_t013_nircam_clear-f200w::jw02107-o044_t020_nircam_clear-f200w,MESSIER 061,15,113463246,210371131,jw02107-o031_t013_nircam_clear-f200w,jw02107-o044_t020_nircam_clear-f200w,JWST,JWST,F200W,F200W,NIRCAM/IMAGE,NIRCAM/IMAGE,370.96410550925793,exact,1.0,1.4000000000000001,True,2.6285250516269727
MESSIER 061::jw02107-o031_t013_nircam_clear-f300m::jw02107-o044_t020_nircam_clear-f300m,MESSIER 061,15,113463165,210371138,jw02107-o031_t013_nircam_clear-f300m,jw02107-o044_t020_nircam_clear-f300m,JWST,JWST,F300M,F300M,NIRCAM/IMAGE,NIRCAM/IMAGE,370.96410550925793,exact,1.0,1.4000000000000001,True,2.6285250516269727
MESSIER 061::jw02107-o031_t013_nircam_clear-f335m::jw02107-o044_t020_nircam_clear-f335m,MESSIER 061,15,113463339,210371121,jw02107-o031_t013_nircam_clear-f335m,jw02107-o044_t020_nircam_clear-f335m,JWST,JWST,F335M,F335M,NIRCAM/IMAGE,NIRCAM/IMAGE,370.9641054976819,exact,1.0,1.4000000000000001,True,2.628525051626297
MESSIER 061::jw02107-o031_t013_nircam_clear-f360m::jw02107-o044_t020_nircam_clear-f360m,MESSIER 061,15,113463303,210371117,jw02107-o031_t013_nircam_clear-f360m,jw02107-o044_t020_nircam_clear-f360m,JWST,JWST,F360M,F360M,NIRCAM/IMAGE,NIRCAM/IMAGE,370.9641047685218,exact,1.0,1.4000000000000001,True,2.6285250515837295
NGC 1097::hst_9788_03_acs_wfc_f814w_j8mx03::hst_15654_58_acs_wfc_f814w_jdxr58,NGC 1097,3,26352154,26493087,hst_9788_03_acs_wfc_f814w_j8mx03,hst_15654_58_acs_wfc_f814w_jdxr58,HST,HST,F814W,F814W,ACS/WFC,ACS/WFC,5914.974981600004,exact,1.0,1.4000000000000001,True,2.2886013164358165
MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01,MESSIER 100,20,26508855,60942197,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16500_01_wfc3_uvis_f555w_iejn01,HST,HST,F555W,F555W,WFC3/UVIS,WFC3/UVIS,4212.60654827,exact,1.0,1.4000000000000001,True,2.281232699013856
NGC 1097::hst_13413_01_wfc3_uvis_f657n_icc501::hst_17457_04_wfc3_uvis_f657n_if8k04,NGC 1097,3,26602179,309493197,hst_13413_01_wfc3_uvis_f657n_icc501,hst_17457_04_wfc3_uvis_f657n_if8k04,HST,HST,F657N,F657N,WFC3/UVIS,WFC3/UVIS,4199.112101659994,exact,1.0,1.4000000000000001,True,2.2811630440970694
NGC 4414::hst_12888_01_wfc3_uvis_f555w_ibzv01::hst_17413_31_wfc3_uvis_f555w_if8731,NGC 4414,46,26579158,215035418,hst_12888_01_wfc3_uvis_f555w_ibzv01,hst_17413_31_wfc3_uvis_f555w_if8731,HST,HST,F555W,F555W,WFC3/UVIS,WFC3/UVIS,3963.153147539997,exact,1.0,1.4000000000000001,True,2.279907521214057
MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16075_01_wfc3_uvis_f555w_ie9801,MESSIER 100,20,26508855,26713019,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16075_01_wfc3_uvis_f555w_ie9801,HST,HST,F555W,F555W,WFC3/UVIS,WFC3/UVIS,3843.6295484599977,exact,1.0,1.4000000000000001,True,2.2792427249726663
NGC 4414::hst_12888_01_wfc3_uvis_f555w_ibzv01::hst_17413_30_wfc3_uvis_f555w_if8730,NGC 4414,46,26579158,201407166,hst_12888_01_wfc3_uvis_f555w_ibzv01,hst_17413_30_wfc3_uvis_f555w_if8730,HST,HST,F555W,F555W,WFC3/UVIS,WFC3/UVIS,3828.319923789997,exact,1.0,1.4000000000000001,True,2.2791560825682655
NGC 4414::hst_12888_01_wfc3_uvis_f555w_ibzv01::hst_17191_03_wfc3_uvis_f555w_iex603,NGC 4414,46,26579158,153426699,hst_12888_01_wfc3_uvis_f555w_ibzv01,hst_17191_03_wfc3_uvis_f555w_iex603,HST,HST,F555W,F555W,WFC3/UVIS,WFC3/UVIS,3655.8506246899997,exact,1.0,1.4000000000000001,True,2.2781553610303313
MESSIER 099::hst_12118_04_wfc3_uvis_f814w_ibfx04::hst_15654_24_wfc3_uvis_f814w_idxr24,MESSIER 099,48,26571628,26698324,hst_12118_04_wfc3_uvis_f814w_ibfx04,hst_15654_24_wfc3_uvis_f814w_idxr24,HST,HST,F814W,F814W,WFC3/UVIS,WFC3/UVIS,3558.0875048499947,exact,1.0,1.4000000000000001,True,2.2775669332918236
NGC 4536::hst_11570_24_wfc3_uvis_f555w_ib1f24::hst_15654_29_wfc3_uvis_f555w_idxr29,NGC 4536,102,26506213,26695642,hst_11570_24_wfc3_uvis_f555w_ib1f24,hst_15654_29_wfc3_uvis_f555w_idxr29,HST,HST,F555W,F555W,WFC3/UVIS,WFC3/UVIS,3534.4128637299946,exact,1.0,1.4000000000000001,True,2.2774220068892452
NGC 1448::hst_12880_16_wfc3_ir_f160w_ic1316::hst_17000_06_wfc3_ir_f160w_iev206,NGC 1448,107,26583000,116143396,hst_12880_16_wfc3_ir_f160w_ic1316,hst_17000_06_wfc3_ir_f160w_iev206,HST,HST,F160W,F160W,WFC3/IR,WFC3/IR,3428.9285568699997,exact,1.0,1.4000000000000001,True,2.2767642537035924
NGC 1448::hst_12880_20_wfc3_ir_f160w_ic1320::hst_17000_06_wfc3_ir_f160w_iev206,NGC 1448,107,26583618,116143396,hst_12880_20_wfc3_ir_f160w_ic1320,hst_17000_06_wfc3_ir_f160w_iev206,HST,HST,F160W,F160W,WFC3/IR,WFC3/IR,3402.4069358900015,exact,1.0,1.4000000000000001,True,2.2765956939791154
NGC 4039::hst_11577_91_acs_wfc_f814w_jb5u91::hst_15645_19_acs_wfc_f814w_jdxk19,NGC 4039,7,26417986,26493562,hst_11577_91_acs_wfc_f814w_jb5u91,hst_15645_19_acs_wfc_f814w_jdxk19,HST,HST,F814W,F814W,ACS/WFC,ACS/WFC,3385.5115249500013,exact,1.0,1.4000000000000001,True,2.276487627896627
NGC 1448::hst_12880_23_wfc3_ir_f160w_ic1323::hst_17000_06_wfc3_ir_f160w_iev206,NGC 1448,107,26583567,116143396,hst_12880_23_wfc3_ir_f160w_ic1323,hst_17000_06_wfc3_ir_f160w_iev206,HST,HST,F160W,F160W,WFC3/IR,WFC3/IR,3383.286287740004,exact,1.0,1.4000000000000001,True,2.276473354714902
NGC 4039::hst_11577_20_acs_wfc_f814w_jb5u20::hst_15645_19_acs_wfc_f814w_jdxk19,NGC 4039,7,26416927,26493562,hst_11577_20_acs_wfc_f814w_jb5u20,hst_15645_19_acs_wfc_f814w_jdxk19,HST,HST,F814W,F814W,ACS/WFC,ACS/WFC,3382.829707249999,exact,1.0,1.4000000000000001,True,2.276470424942602
NGC 4039::hst_11577_12_acs_wfc_f814w_jb5u12::hst_15645_19_acs_wfc_f814w_jdxk19,NGC 4039,7,26415793,26493562,hst_11577_12_acs_wfc_f814w_jb5u12,hst_15645_19_acs_wfc_f814w_jdxk19,HST,HST,F814W,F814W,ACS/WFC,ACS/WFC,3376.504799839997,exact,1.0,1.4000000000000001,True,2.2764297987439566
IC 2163::hst_13029_10_wfc3_uvis_f814w_ibyb10::hst_16239_28_wfc3_uvis_f814w_ieec28,IC 2163,104,26574695,62910918,hst_13029_10_wfc3_uvis_f814w_ibyb10,hst_16239_28_wfc3_uvis_f814w_ieec28,HST,HST,F814W,F814W,WFC3/UVIS,WFC3/UVIS,3224.5326096499994,exact,1.0,1.4000000000000001,True,2.2754300718452107
NGC 2207::hst_13029_10_wfc3_uvis_f814w_ibyb10::hst_16239_28_wfc3_uvis_f814w_ieec28,NGC 2207,88,26574695,62910918,hst_13029_10_wfc3_uvis_f814w_ibyb10,hst_16239_28_wfc3_uvis_f814w_ieec28,HST,HST,F814W,F814W,WFC3/UVIS,WFC3/UVIS,3224.5326096499994,exact,1.0,1.4000000000000001,True,2.2754300718452107
NGC 7479::hst_11575_53_acs_wfc_f814w_jb4u53::hst_15645_09_acs_wfc_f814w_jdxk09,NGC 7479,10,26414899,26493734,hst_11575_53_acs_wfc_f814w_jb4u53,hst_15645_09_acs_wfc_f814w_jdxk09,HST,HST,F814W,F814W,ACS/WFC,ACS/WFC,3115.3816238699947,exact,1.0,1.4000000000000001,True,2.2746825317406656
NGC 3147::hst_15145_32_wfc3_uvis_f555w_idgg32::hst_17846_03_wfc3_uvis_f555w_ifgg03,NGC 3147,4,26668462,264855758,hst_15145_32_wfc3_uvis_f555w_idgg32,hst_17846_03_wfc3_uvis_f555w_ifgg03,HST,HST,F555W,F555W,WFC3/UVIS,WFC3/UVIS,2744.8578700200014,exact,1.0,1.4000000000000001,True,2.271933902685395
NGC 7331::hst_14668_04_wfc3_uvis_f555w_id9604::hst_17506_25_wfc3_uvis_f555w_if8c25,NGC 7331,9,26302845,201411183,hst_14668_04_wfc3_uvis_f555w_id9604,hst_17506_25_wfc3_uvis_f555w_if8c25,HST,HST,F555W,F555W,WFC3/UVIS,WFC3/UVIS,2643.3501688500037,exact,1.0,1.4000000000000001,True,2.2711159482277026
NGC 3147::hst_15145_3a_wfc3_uvis_f555w_idgg3a::hst_17846_03_wfc3_uvis_f555w_ifgg03,NGC 3147,4,26668583,264855758,hst_15145_3a_wfc3_uvis_f555w_idgg3a,hst_17846_03_wfc3_uvis_f555w_ifgg03,HST,HST,F555W,F555W,WFC3/UVIS,WFC3/UVIS,2607.6724735800017,exact,1.0,1.4000000000000001,True,2.2708209777793495
IC 2163::hst_13787_05_wfc3_uvis_f555w_ickj05::hst_skycell-p0818x12y14_wfc3_uvis_f555w_all,IC 2163,104,26614807,83224235,hst_13787_05_wfc3_uvis_f555w_ickj05,hst_skycell-p0818x12y14_wfc3_uvis_f555w_all,HST,HST,F555W,F555W,WFC3/UVIS,WFC3/UVIS,2333.795166759999,exact,1.0,1.4000000000000001,True,2.2684124392804836
NGC 2207::hst_13787_05_wfc3_uvis_f555w_ickj05::hst_16239_28_wfc3_uvis_f555w_ieec28,NGC 2207,88,26614807,62910919,hst_13787_05_wfc3_uvis_f555w_ickj05,hst_16239_28_wfc3_uvis_f555w_ieec28,HST,HST,F555W,F555W,WFC3/UVIS,WFC3/UVIS,2333.795166759999,exact,1.0,1.4000000000000001,True,2.2684124392804836
NGC 2207::hst_13787_05_wfc3_uvis_f814w_ickj05::hst_16239_28_wfc3_uvis_f814w_ieec28,NGC 2207,88,26614793,62910918,hst_13787_05_wfc3_uvis_f814w_ickj05,hst_16239_28_wfc3_uvis_f814w_ieec28,HST,HST,F814W,F814W,WFC3/UVIS,WFC3/UVIS,2333.7100852799995,exact,1.0,1.4000000000000001,True,2.2684116479671586
MESSIER 066::hst_12968_01_wfc3_uvis_f438w_ic0h01::hst_15654_22_wfc3_uvis_f438w_idxr22,MESSIER 066,30,26583197,26689617,hst_12968_01_wfc3_uvis_f438w_ic0h01,hst_15654_22_wfc3_uvis_f438w_idxr22,HST,HST,F438W,F438W,WFC3/UVIS,WFC3/UVIS,2203.6784212899947,exact,1.0,1.4000000000000001,True,2.267167262569007
MESSIER 066::hst_12968_01_wfc3_uvis_f814w_ic0h01::hst_15654_22_wfc3_uvis_f814w_idxr22,MESSIER 066,30,26583220,26689624,hst_12968_01_wfc3_uvis_f814w_ic0h01,hst_15654_22_wfc3_uvis_f814w_idxr22,HST,HST,F814W,F814W,WFC3/UVIS,WFC3/UVIS,2203.5971594500006,exact,1.0,1.4000000000000001,True,2.2671664621752
MESSIER 066::hst_13477_03_wfc3_uvis_f555w_ic8503::hst_15654_22_wfc3_uvis_f555w_idxr22,MESSIER 066,30,26595970,26689610,hst_13477_03_wfc3_uvis_f555w_ic8503,hst_15654_22_wfc3_uvis_f555w_idxr22,HST,HST,F555W,F555W,WFC3/UVIS,WFC3/UVIS,2173.7849484100007,exact,1.0,1.4000000000000001,True,2.266870815930363
