candidate_rank,pair_id,galaxy_name,obs_id_1,obs_id_2,compatibility,baseline_days,pair_score,preflight_reason
1,MESSIER 074::jw02107-c1019_t018_miri_f2100w::jw07978-o001_t002_miri_f2100w,MESSIER 074,jw02107-c1019_t018_miri_f2100w,jw07978-o001_t002_miri_f2100w,exact,1263.8205785550963,1.4000000000000001,RESTRICTED_DATA_RIGHTS:jw07978-o001_t002_miri_f2100w:EXCLUSIVE_ACCESS
2,MESSIER 074::jw02107-c1019_t018_miri_f1130w::jw07978-o001_t002_miri_f1130w,MESSIER 074,jw02107-c1019_t018_miri_f1130w,jw07978-o001_t002_miri_f1130w,exact,1263.8092731148135,1.4000000000000001,RESTRICTED_DATA_RIGHTS:jw07978-o001_t002_miri_f1130w:EXCLUSIVE_ACCESS
3,MESSIER 074::jw02107-c1019_t018_miri_f1000w::jw07978-o001_t002_miri_f1000w,MESSIER 074,jw02107-c1019_t018_miri_f1000w,jw07978-o001_t002_miri_f1000w,exact,1263.8045511625023,1.4000000000000001,RESTRICTED_DATA_RIGHTS:jw07978-o001_t002_miri_f1000w:EXCLUSIVE_ACCESS
4,MESSIER 074::jw02107-c1019_t018_miri_f770w::jw07978-o001_t002_miri_f770w,MESSIER 074,jw02107-c1019_t018_miri_f770w,jw07978-o001_t002_miri_f770w,exact,1263.7968754087997,1.4000000000000001,RESTRICTED_DATA_RIGHTS:jw07978-o001_t002_miri_f770w:EXCLUSIVE_ACCESS
5,MESSIER 074::jw02107-o040_t018_nircam_clear-f300m::jw07978-o002_t002_nircam_clear-f300m,MESSIER 074,jw02107-o040_t018_nircam_clear-f300m,jw07978-o002_t002_nircam_clear-f300m,exact,1263.2560504629655,1.4000000000000001,RESTRICTED_DATA_RIGHTS:jw07978-o002_t002_nircam_clear-f300m:EXCLUSIVE_ACCESS
6,MESSIER 074::jw02107-o040_t018_nircam_clear-f200w::jw07978-o002_t002_nircam_clear-f200w,MESSIER 074,jw02107-o040_t018_nircam_clear-f200w,jw07978-o002_t002_nircam_clear-f200w,exact,1263.241013877312,1.4000000000000001,RESTRICTED_DATA_RIGHTS:jw07978-o002_t002_nircam_clear-f200w:EXCLUSIVE_ACCESS
7,MESSIER 074::jw02107-o040_t018_nircam_clear-f360m::jw07978-o002_t002_nircam_clear-f360m,MESSIER 074,jw02107-o040_t018_nircam_clear-f360m,jw07978-o002_t002_nircam_clear-f360m,exact,1263.241013136576,1.4000000000000001,RESTRICTED_DATA_RIGHTS:jw07978-o002_t002_nircam_clear-f360m:EXCLUSIVE_ACCESS
8,MESSIER 074::jw02107-o040_t018_nircam_clear-f335m::jw07978-o002_t002_nircam_clear-f335m,MESSIER 074,jw02107-o040_t018_nircam_clear-f335m,jw07978-o002_t002_nircam_clear-f335m,exact,1263.2340539120414,1.4000000000000001,RESTRICTED_DATA_RIGHTS:jw07978-o002_t002_nircam_clear-f335m:EXCLUSIVE_ACCESS
9,NGC 1365::jw02107-o021_t003_nircam_clear-f200w::jw09246-o003_t003_nircam_clear-f200w,NGC 1365,jw02107-o021_t003_nircam_clear-f200w,jw09246-o003_t003_nircam_clear-f200w,exact,1208.7926399074058,1.4000000000000001,RESTRICTED_DATA_RIGHTS:jw09246-o003_t003_nircam_clear-f200w:EXCLUSIVE_ACCESS
10,NGC 1365::jw02107-o021_t003_nircam_clear-f300m::jw09246-o003_t003_nircam_clear-f300m,NGC 1365,jw02107-o021_t003_nircam_clear-f300m,jw09246-o003_t003_nircam_clear-f300m,exact,1208.774745891198,1.4000000000000001,RESTRICTED_DATA_RIGHTS:jw09246-o003_t003_nircam_clear-f300m:EXCLUSIVE_ACCESS
