candidate_id,galaxy_name,obsid,obs_id,obs_collection,instrument_name,filter_name,filter_central_um,t_min,t_max,stage,native_flux,native_err,flux_jy,err_jy,snr,pixel_scale_arcsec,radius_pix,x_pix,y_pix,product_path,status,error
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003,MESSIER 101,24734002,w1000501t,HST,WFPC/PC,F555W,0.555,48819.27171894676,48819.27287635417,pre,,,,,,,,,,,FAILED,No celestial 2D science image found in /home/primary/SUPERNOVA/data/cache/mast_products/HST/w1000501t/w1000501t_c0f.fits
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003,MESSIER 101,206810541,hst_5397_01_wfpc2_pc_f555w_u27801,HST,WFPC2/PC,F555W,0.555,49433.93353648,49433.94742537,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003,MESSIER 101,206810530,hst_5397_01_wfpc2_pc_f814w_u27801,HST,WFPC2/PC,F814W,0.814,49433.98839759,49433.99997166,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003,MESSIER 101,206814839,hst_5397_01_wfpc2_pc_f439w_u27801,HST,WFPC2/PC,F439W,0.439,49434.00228648,49434.01386055,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003,MESSIER 101,206805349,hst_5397_02_wfpc2_pc_f555w_u27802,HST,WFPC2/PC,F555W,0.555,49441.56339759,49441.57728648,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003,MESSIER 101,24540934,u2780301t,HST,WFPC2/PC,F555W,0.555,49450.69256431713,49450.70645320602,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003,MESSIER 101,24540935,u2780302t,HST,WFPC2/PC,F814W,0.814,49450.73770320602,49450.75159209491,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003,MESSIER 101,24540936,u2780303t,HST,WFPC2/PC,F439W,0.439,49450.75436987269,49450.76825876157,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003,MESSIER 101,24540937,u2780304t,HST,WFPC2/PC,F336W,0.336,49450.80436987268,49450.818258761574,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003,MESSIER 101,24540939,u2780401p,HST,WFPC2/PC,F555W,0.555,49453.22034201389,49453.23423090278,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003,MESSIER 101,24540944,u2780601t,HST,WFPC2/PC,F555W,0.555,49458.881453090275,49458.895341979165,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003,MESSIER 101,24540945,u2780701t,HST,WFPC2/PC,F555W,0.555,49462.49117534722,49462.50506423611,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003,MESSIER 101,206805837,hst_5397_08_wfpc2_pc_f555w_u27808,HST,WFPC2/PC,F555W,0.555,49466.71409207,49466.72798095,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003,MESSIER 101,206805403,hst_5397_09_wfpc2_pc_f555w_u27809,HST,WFPC2/PC,F555W,0.555,49470.66895315,49470.68284204,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003,MESSIER 101,24540948,u2780a01t,HST,WFPC2/PC,F555W,0.555,49475.6967309375,49475.71061982639,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003,MESSIER 101,206812623,hst_5397_05_wfpc2_pc_f555w_u27805,HST,WFPC2/PC,F555W,0.555,49477.71617542,49477.7300643,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
