stage,filter_name,wavelength_um,flux_jy,err_jy,n_epochs
post,F275W,0.275,-1.1025680645637331e-07,3.816414368589467e-08,1
post,F438W,0.438,3.5784559163332456e-07,1.5911461878254748e-08,1
post,F555W,0.555,3.5898496712296983e-07,8.650473275094263e-09,1
post,F814W,0.814,2.351362471436019e-07,2.4611567001522843e-08,1
post,F090W,0.9,1.8937237408167385e-07,1.1546202984305306e-08,1
post,F110W,1.1,1.0358637588743415e-07,9.851655239091915e-08,1
post,F150W,1.5,2.1160363919222535e-07,2.3309118909131148e-08,1
post,F160W,1.6,-5.506080281103786e-08,1.6298005844195217e-07,1
post,F277W,2.77,2.3762994313232258e-08,1.2969659576697773e-07,1
pre,F350LP,0.35,6.509757180877721e-05,1.0077355983265818e-08,3
pre,F814W,0.814,6.430051961444173e-05,3.8382143405145204e-08,1
pre,F160W,1.6,1.5758113899276757e-05,9.571653370990311e-08,2
